,folder,report,RTN,type,address,lab,error,results_pages,extracted
0,AFFF Lab Reports/,AFFF Sampling Results - Ansul T-Storm- Hudson.pdf,,source,,alpha,,7,True
1,AFFF Lab Reports/,AFFF Sampling Results - Ansul T-Storm- Hudson.pdf,,source,,alpha,,9,True
2,AFFF Lab Reports/,AFFF Sampling Results - Ansul T-Storm- Hudson.pdf,,source,,alpha,,11,True
3,AFFF Lab Reports/,AFFF Sampling Results - Ansul T-Storm- Hudson.pdf,,source,,alpha,,13,True
4,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown (Clear Poly)- Clinton.pdf,,source,,alpha,,8,True
5,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown (Clear Poly)- Clinton.pdf,,source,,alpha,,11,True
6,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown (Clear Poly)- Clinton.pdf,,source,,alpha,,13,True
7,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown (Clear Poly)- Clinton.pdf,,source,,alpha,,15,True
8,AFFF Lab Reports/,AFFF Sampling Results - Buckeye- Hopkinton[120].pdf,,source,,alpha,,8,True
9,AFFF Lab Reports/,AFFF Sampling Results - FireAde- Littleton.pdf,,source,,alpha,,7,True
10,AFFF Lab Reports/,AFFF Sampling Results - FireAde- Littleton.pdf,,source,,alpha,,9,True
11,AFFF Lab Reports/,AFFF Sampling Results - Chemguard C364- Marlborough.pdf,,source,,alpha,,7,True
12,AFFF Lab Reports/,AFFF Sampling Results - Chemguard C364- Marlborough.pdf,,source,,alpha,,9,True
13,AFFF Lab Reports/,AFFF Sampling Results - ChemGuard C303 Shirley.pdf,,source,,alpha,,7,True
14,AFFF Lab Reports/,AFFF Sampling Results - ChemGuard C303 Shirley.pdf,,source,,alpha,,10,True
15,AFFF Lab Reports/,AFFF Sampling Results - National Foam Training  Medway.pdf,,source,,alpha,,7,True
16,AFFF Lab Reports/,AFFF Sampling Results - National Foam Training  Medway.pdf,,source,,alpha,,10,True
17,AFFF Lab Reports/,AFFF Sampling Results - Ansulite- Millbury.pdf,,source,,alpha,,7,True
18,AFFF Lab Reports/,AFFF Sampling Results - Ansulite- Millbury.pdf,,source,,alpha,,10,True
19,AFFF Lab Reports/,AFFF Sampling Results - Ansulite- Millbury.pdf,,source,,alpha,,12,True
20,AFFF Lab Reports/,AFFF Sampling Results - Firebull F3- Harvard.pdf,,source,,alpha,,7,True
21,AFFF Lab Reports/,AFFF Sampling Results - Firebull F3- Harvard.pdf,,source,,alpha,,9,True
22,AFFF Lab Reports/,AFFF Sampling Results - Ansulite ARC - Holden.pdf,,source,,alpha,,9,True
23,AFFF Lab Reports/,AFFF Sampling Results - Ansulite ARC - Holden.pdf,,source,,alpha,,12,True
24,AFFF Lab Reports/,AFFF Sampling Results - Ansulite ARC - Holden.pdf,,source,,alpha,,16,True
25,AFFF Lab Reports/,AFFF Sampling Results - Ansulite ARC - Holden.pdf,,source,,alpha,,17,True
