Extracted,RTN,Town,Site_Name,Address,Notif_Date,Disposition,Chemical,Source or receptor data,Source Type,full_address,lat,lon
Extracted,1-0021230,LANESBOROUGH,LANESBOROUGH WATER SUPPLY WELL #1,20 BRIDGE STREET,12/9/2020,LESS,PFOS & PFAS,Source lab reports,Other,"20 BRIDGE STREET, LANESBOROUGH MA",42.521410599999996,-73.23162040646596
Extracted,1-0021289,NORTHFIELD,FOUR STAR FARMS,496 PINE MEADOW ROAD,4/5/2021,LESS,PFAS,Receptor lab reports,,"496 PINE MEADOW ROAD, NORTHFIELD MA",42.63639470175252,-72.48213772461789
Extracted,2-0020439,HUDSON,FMR BOYD COATINGS RESEARCH CO,51 PARMENTER ROAD,1/24/2018,REPORT,PERFLUOROOCTANESULFONIC ACID,"Source, receptor lab reports",Other,"51 PARMENTER ROAD, HUDSON MA",42.3854695,-71.49556256016757
Extracted,2-0021045,STOW,MA DFS FIREFIGHTING ACADEMY,664 SUDBURY RD,10/24/2019,REPORT,PFAS,"Source, receptor lab reports",AFFF,"664 SUDBURY RD, STOW MA",42.3949991,-71.47737498774833
Extracted,2-0021072,PRINCETON,IMPACTED WATER SUPPLIES - PRINCETON,6 TOWN HALL DR,11/4/2019,REPORT,PFAS,"Source, receptor lab reports",,"6 TOWN HALL DR, PRINCETON MA",42.449888849999994,-71.87887473554267
Extracted,2-0021075,STOW,FMR FIRE STATION,16 CRESCENT ST,10/1/2019,REPORT,PFAS,"Source, receptor lab reports",AFFF,"16 CRESCENT ST, STOW MA",42.43755315,-71.50554356657487
Extracted,2-0021116,STOW,GLEASONDALE MILL,501 GLEASONDALE ROAD,2/14/2020,REPORT,PFAS,"Source, receptor lab reports",Other,"501 GLEASONDALE ROAD, STOW MA",42.4056423,-71.52665841837782
Extracted,2-0021349,LITTLETON,AGGREGATE INDUSTRIES QUARRY,149 AYER ROAD,9/18/2020,REPORT,PFAS 6 SUM,Source lab reports,Other,"149 AYER ROAD, LITTLETON MA",42.548279300000004,-71.51904215657531
Extracted,2-0021383,HOLDEN,"HHC REALTY, LLC",752 MAIN STREET,10/22/2020,REPORT,PFAS COMPOUNDS (TOTAL OF 6),Source lab reports,Other,"752 MAIN STREET, HOLDEN MA",42.34221945,-71.84221422996845
Extracted,2-0021446,LANCASTER,MCI NEAR WATER SUPPLY WELL 2270001-02G,0 SHIRLEY ROAD,12/29/2020,REPORT,PERFLUROHEXANSULFONIC ACID PFHXS,Source lab reports,Other,"0 SHIRLEY ROAD, LANCASTER MA",42.523016,-71.666026
Extracted,2-0021455,MILLIS,FORMER GAF FACILITY,60 CURVE STREET,1/8/2021,REPORT,PFAS (SUM 6),Source lab reports,Other,"60 CURVE STREET, MILLIS MA",42.170879,-71.358488
,2-0021523,MILLIS,FORMER GARAGE,114 UNION STREET,4/2/2021,REPORT,PFAS6 (SUMMATION),Source lab reports,,"114 UNION STREET, MILLIS MA",42.171767849999995,-71.35202841582412
Extracted,2-0021541,STOW,BOSE FACILITY,688 GREAT RD,4/16/2021,REPORT,PFAS,Source lab reports,Other,"688 GREAT RD, STOW MA",42.434883,-71.531982
