CATEGORY,NAICS_CODE,NAICS_DESC,COMPANY_NAME,PRIMARY_ADDRESS,PRIMARY_CITY,PRIMARY_STATE,PRIMARY_ZIP10,SALUTATION,FIRST_NAME,LAST_NAME,PROFESSIONAL_TITLE,CONTACT_NAME,PHONE,WEB_SITE,LATITUDE,LONGITUDE
H,31332003,FABRIC COATING MILLS,HAARTZ CORP,87 HAYWARD RD,ACTON,MA,01720-3000,MR,ERIC R,HAARTZ,,ERIC R HAARTZ,9782642600,HAARTZ.COM,42481647,71458473
H,32222013,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,NOT JUST BROWN BAGS,PO BOX 772,AGAWAM,MA,01001-0772,,,,,,4137862456,,42073696,72639686
H,32223005,STATIONERY PRODUCT MANUFACTURING,WWP RESOURCES,25 SYCAMORE TER,AGAWAM,MA,01001-3531,BRUCE,PRATT,S,M,BRUCE PRATT,4134786449,WWPRESOURCES.COM,42054428,72608764
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,HERITAGE FLAG CO INC,100 FRANKLIN ST,ALLSTON,MA,02134-1444,AMY,MACDONALD,S,F,AMY MACDONALD,6172693524,HERITAGEFLAG.COM,42359279,71133392
H,31331035,TEXTILE & FABRIC FINISHING MILLS,ROYCROFT ASSOCIATES,63 LOVEJOY RD,ANDOVER,MA,01810-4523,RICHARD,ROYCROFT,S,M,RICHARD ROYCROFT,9784704525,ROYCROFT.ORG,42639034,71175666
H,32222001,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,SCHOLLE IPN PACKAGING INC,3000 MINUTEMAN RD,ANDOVER,MA,01810-1032,,,,,,7085627290,SCHOLLEIPN.COM,42694087,71219390
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,ARLINGTON BANNER & FLAG CO,110A MASSACHUSETTS AVE,ARLINGTON,MA,02474-8624,MICHELLE,TAP,S,F,MICHELLE TAP,7816460101,ARLINGTONBANNER.COM,42403224,71139289
H,31499921,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,LAURA'S SEWING SCHOOL,205 BROADWAY # A,ARLINGTON,MA,02474-5410,LAURA,WIRKKALA,S,F,LAURA WIRKKALA,7816462463,WIRKKALADESIGNS.COM,42412120,71144470
H,32221901,OTHER PAPERBOARD CONTAINER MANUFACTURING,WHITE PAPER BOX CO,15 MAIN ST,ATHOL,MA,01331-2107,DONALD,BACHELDER,S,M,DONALD BACHELDER,9782496026,,42592807,72238601
H,32221102,CORRUGATED & SOLID FIBER BOX MANUFACTURING,ABBOTT ACTION INC,3 VENUS WAY,ATTLEBORO,MA,02703-8149,MR,SAM,ABBOTT,,SAM ABBOTT,7818218200,ABBOTTACTION.COM,41901462,71338394
H,31499905,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,V H BLACKINTON & CO INC,PO BOX 1300,ATTLEBORO FALLS,MA,02763-0300,MR,PETER A,ROQUE,,PETER A ROQUE,5088094708,WWW2.BLACKINTON.COM,41980422,71299003
H,32223003,STATIONERY PRODUCT MANUFACTURING,WORCESTER ENVELOPE CO,PO BOX 406,AUBURN,MA,01501-0406,MR,ELDON D,POND III,,ELDON D POND III,5088325394,WORCESTERENVELOPE.COM,42199062,71827461
H,31324003,KNIT FABRIC MILLS,ALLEN BABITTS WORKROOM,339 AUBURN ST # 9,AUBURNDALE,MA,02466-1907,MR,SCOTT,BABITTS,,SCOTT BABITTS,6173327468,,42346458,71248550
H,32222001,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,SEALED AIR CORP,100 WESTFORD RD,AYER,MA,01432-1534,MR,MATT,BLEAKLEY,,MATT BLEAKLEY,9787723200,SEALEDAIR.COM,42571685,71531028
H,31499915,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,BINDING STITCH,PO BOX 617,BARNSTABLE,MA,02630-0617,MARCIA,BROWN,S,F,MARCIA BROWN,5083626239,BINDINGSTITCH.COM,41703758,70315376
H,31322011,NARROW FABRIC MILLS & SCHIFFLI MACHINE EMBROIDERY,HARTY JOHN TOOLS,PO BOX 622,BARRE,MA,01005-0622,,,S,,,9783554052,,42467712,72089004
H,31331035,TEXTILE & FABRIC FINISHING MILLS,CUTTING EDGE TEXSTYLES LLC,4 PRESTON CT # 200,BEDFORD,MA,01730-2356,MR,JOSEPH H,GOLDMAN,,JOSEPH H GOLDMAN,7812710000,CETEXSTYLES.COM,42482791,71263877
H,32222001,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,DANVER'S INDUSTRIAL PKGNG CORP,39 TOZER RD # 2,BEVERLY,MA,01915-5513,MR,CHUCK,THIBEAULT,,CHUCK THIBEAULT,9787770020,DANPACK.COM,42569614,70883872
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,HANNAH LORE FLAG CO,14 DAVIS ST,BEVERLY,MA,01915-5002,HANNELORE,MC CARTHY,S,F,HANNELORE MC CARTHY,9789226189,HANNAH-LOREFLAGCOMPANY.COM,42542144,70883331
H,32221907,OTHER PAPERBOARD CONTAINER MANUFACTURING,INTER-LINK PACKAGING SOLUTIONS,277 HALE ST,BEVERLY,MA,01915-2036,SUSANNE,WELDON,S,F,SUSANNE WELDON,9789212980,INTERLINKPKG.COM,42554122,70850837
H,31528006,OTHER CUT & SEW APPAREL MANUFACTURING,NEW ENGLAND LEATHER CO,54 W DANE ST # N,BEVERLY,MA,01915-4316,CHRISTOPHER,THOMSON,S,M,CHRISTOPHER THOMSON,9789274404,,42551452,70884605
H,31491013,TEXTILE BAG & CANVAS MILLS,PELLETIER AWNING CO,51 PARK ST,BEVERLY,MA,01915-4229,RON,MISHEL,S,M,RON MISHEL,9787454710,PELLETIERAWNING.COM,42549072,70884361
H,32222001,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,TANDEM EQUIPMENT SALES INC,35 TOZER RD,BEVERLY,MA,01915-5513,DOROTHY D,O'NEILL,S,F,DOROTHY D O'NEILL,9789278745,TANDEM-ESD.NET,42570983,70883697
H,32521105,PLASTICS MATERIAL & RESIN MANUFACTURING,DOW CHEMICALS,104 GREEN RD,BOLTON,MA,01740-1027,,,,,,9786342027,DOW.COM,42451080,71627098
H,32223005,STATIONERY PRODUCT MANUFACTURING,48HOURPRINT.COM,33 FARNSWORTH ST # 2,BOSTON,MA,02210-1289,,,S,,,8008440599,48HOURPRINT.COM,42351596,71048042
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,BLUE FLAG PARTNERS,105 NEWBURY ST # 4,BOSTON,MA,02116-3047,,,S,,,6173149003,BLUEFLAGPARTNERS.COM,42351631,71075492
H,31321023,BROADWOVEN FABRIC MILLS,CITY OF BOSTON,1 CITY HALL AVE # 721,BOSTON,MA,02108-4309,MS,GINA,FINDACA,,GINA FINDACA,6176354680,BOSTON.GOV,42360950,71057792
