,report,date_sampled,sample_id,lab,Matrix,Units,NEtFOSAA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTA,PFTrDA,PFUnA
0,2-0021045 - Stow - Document_ID_528945 SLG.pdf,11/21/19,SLUDGE 0.5-1,SGS,SO - Soil,ng/g,0.915,0.355,0.842,0.824,0.604,0.431,1.23,1.03,2.12,1.59,0.511,1.48,0.778
1,2-0021045 - Stow - Document_ID_528945 SLG.pdf,11/21/19,SLUDGE 1-1.5,SGS,SO - Soil,ng/g,0.915,0.355,0.62,0.355,0.389,0.296,0.704,0.618,1.02,0.977,0.355,0.851,0.396
2,2-0021045 - Stow - Document_ID_528945 SLG.pdf,11/21/19,SLUDGE 1.5-2,SGS,SO - Soil,ng/g,0.915,0.355,0.416,0.908,0.552,0.414,0.671,0.557,0.904,1.14,0.396,10.8,1.17
3,2-0021045 - Stow - Document_ID_528945 SLG.pdf,11/21/19,SLUDGE 2-2.5,SGS,SO - Soil,ng/g,0.915,0.355,1.08,4.0,0.3655,0.301,0.77,0.4225,1.445,2.855,6.85,136.0,2.705
4,2-0021045 - Stow - Document_ID_528945 SLG.pdf,11/21/19,SLUDGE BASE 2.5-3,SGS,SO - Soil,ng/g,1.255,0.445,2.385,30.3,2.455,1.275,5.4,0.725,5.9,19.85,7.2,232.0,268.0
5,2-0021045 - Stow - Document_ID_528945 SLG.pdf,11/21/19,SLUDGE BASE 3-3.5,SGS,SO - Soil,ng/g,2.865,0.65,30.05,11.0,3.65,3.645,10.1,3.255,5.9,145.0,2.6,50.5,377.5
6,2-0021075 - Stow - Document_ID_550063 MW.pdf,02/18/20,other,SGS,AQ - Ground Water,ng/l,0.915,12.5,7.4,0.355,21.95,30.65,161.35,10.05,30.15,109.35,0.355,0.355,1.6
7,2-0021075 - Stow - Document_ID_550063 SL.pdf,01/30/20,SB-2 (0-2'),SGS,SO - Soil,ng/g,0.915,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.5,0.355,0.355,0.355
8,AFFF Sampling Results - 3M Light Water- Cotuit.pdf,03/03/21 10:00,LIGHT WATER,Alpha,Liquid,ng/l,0.258,14680000.0,0.296,0.298,2580000.0,10560000.0,76000000.0,20000.0,10440000.0,328000000.0,0.19875,0.2335,0.197
9,AFFF Sampling Results - 3M Light Water- Uxbridge.pdf,08/06/21 08:00,other,Alpha,Liquid,ng/l,0.258,2620000.0,0.296,0.298,440000.0,2240000.0,21200000.0,0.219,2040000.0,95400000.0,0.19875,0.2335,0.197
10,AFFF Sampling Results - 3M- Millbury.pdf,08/06/21 10:15,MILBURY FD ANULITE,Alpha,Liquid,ng/l,0.258,0.1305,19000.0,0.298,13100.0,639000.0,0.221,0.219,396000.0,0.2265,0.19875,0.2335,0.197
11,AFFF Sampling Results - 3M- Millbury.pdf,08/06/21 10:20,MILBURY FD 3M,Alpha,Liquid,ng/l,0.258,2340000.0,0.296,0.298,438000.0,1512000.0,14980000.0,0.219,1416000.0,66000000.0,0.19875,0.2335,0.197
12,AFFF Sampling Results - Ansul T-Storm- Hudson.pdf,07/15/21 09:20,CHEMGUARD XTRA HIGH,Alpha,Liquid,ng/l,0.258,0.1305,0.296,0.298,0.1195,12100.0,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
