,report,date_sampled,sample_id,lab,Matrix,Units,PFBS,PFDA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFUnA
0,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-01,Con-Test,Ground Water,ng/l,2.5,1.0052348335,1.0052348335,1.0052348335,1.0756849315,1.0052348335,1.0052348335,1.20092955,1.0052348335
1,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-03,Con-Test,Ground Water,ng/l,7.4,1.0052348335,4.8,4.5,1.0756849315,1.0052348335,6.4,1.20092955,1.0052348335
2,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-04,Con-Test,Ground Water,ng/l,3.5,1.0052348335,2.2,3.2,1.0756849315,1.0052348335,6.55,1.20092955,1.0052348335
3,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-05,Con-Test,Ground Water,ng/l,1.0052348335,1.0052348335,5.0,7.8,1.0756849315,1.0052348335,2.2,1.20092955,1.0052348335
4,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-06,Con-Test,Ground Water,ng/l,1.0052348335,1.0052348335,2.2,1.0052348335,1.0756849315,1.0052348335,4.5,4.0,1.0052348335
5,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-07,Con-Test,Ground Water,ng/l,4.5,1.0052348335,5.4,3.6,1.0756849315,3.2,32.0,5.0,1.0052348335
6,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-08,Con-Test,Ground Water,ng/l,1.0052348335,1.0052348335,2.2,3.6,1.0756849315,4.5,12.0,6.6,1.0052348335
7,3-0036118 - Beverly - Document_ID_583652 MW A.pdf,3/12/2020,20C0628-09,Con-Test,Ground Water,ng/l,2.6,1.0052348335,2.9,8.3,1.0756849315,2.1,6.6,13.0,1.0052348335
8,3-0036118 - Beverly - Document_ID_583652 MW B.pdf,6/2/2020,20F0294-01,Con-Test,Ground Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0756849315,2.2,5.1,7.9,1.0052348335
9,3-0036118 - Beverly - Document_ID_583652 MW B.pdf,6/3/2020,20F0294-07,Con-Test,Ground Water,ng/l,1.0052348335,1.0052348335,14.0,11.0,1.0756849315,1.0052348335,3.0,1.20092955,1.0052348335
10,3-0036118 - Beverly - Document_ID_583652 MW B.pdf,6/3/2020,20F0294-08,Con-Test,Ground Water,ng/l,2.3,3.8,2.3,13.0,20.0,1.0052348335,22.0,8.6,1.0052348335
11,3-0036118 - Beverly - Document_ID_583652 MW B.pdf,6/3/2020,20F0294-10,Con-Test,Ground Water,ng/l,1.0052348335,1.0052348335,2.2,3.4,1.0756849315,1.0052348335,4.5,5.1,1.0052348335
