,report,date_sampled,sample_id,lab,Matrix,Units,NEtFOSAA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTA,PFTrDA,PFUnA
0,1-0021230 - Lanesborough - Document_ID_587486 DW.pdf,01/08/21 13:12,01G,Alpha,Dw,ng/l,0.258,0.1305,0.296,0.298,2.51,1.18,0.466,0.502,19.9,123.0,0.19875,0.2335,0.197
1,1-0021230 - Lanesborough - Document_ID_587486 DW.pdf,01/08/21 13:29,02G,Alpha,Dw,ng/l,0.258,3.08,0.296,0.298,0.647,0.914,0.647,0.219,1.9,2.17,0.19875,0.2335,0.197
2,1-0021230 - Lanesborough - Document_ID_587486 DX.pdf,12/27/18 10:10,PROPERTY CS,Alpha,Dw,ng/l,0.258,0.1305,0.296,0.298,7.17,12.7,0.221,0.219,5.42,0.2265,0.19875,0.2335,0.197
3,1-0021230 - Lanesborough - Document_ID_587486 MW A.pdf,01/08/21 10:32,TW-7,Alpha,Water,ng/l,0.258,1.97,0.296,0.298,1.11,1.84,0.65,0.762,4.23,14.6,0.19875,0.2335,0.197
4,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 13:12,01G,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,2.48,1.29,0.356,0.337,19.6,122.0,0.19875,0.2335,0.197
5,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 13:29,02G,Alpha,Water,ng/l,0.258,2.51,0.296,0.298,0.447,0.715,0.365,0.219,1.6,2.07,0.19875,0.2335,0.197
6,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 00:00,TW-1,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,1.28,0.432,0.394,0.219,11.2,33.7,0.19875,0.2335,0.197
7,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 00:00,TW-1-A,Alpha,Water,ng/l,0.258,0.365,0.296,0.298,4.81,1.28,1.43,0.219,44.0,38.5,0.19875,0.2335,0.197
8,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 00:00,TW-4,Alpha,Water,ng/l,0.258,0.556,0.296,0.298,0.1195,0.121,0.221,0.219,0.291,0.2265,0.19875,0.2335,0.197
9,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 00:00,TW-4-A,Alpha,Water,ng/l,0.258,0.615,0.296,0.298,1.39,1.29,0.444,0.746,3.94,1.16,0.19875,0.2335,0.197
10,1-0021230 - Lanesborough - Document_ID_587486 MW B.pdf,01/08/21 00:00,TW-6,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.356,0.599,0.19875,0.2335,0.197
11,1-0021230 - Lanesborough - Document_ID_587486 MW C.pdf,01/08/21 09:30,TB-1,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.241,0.2265,0.19875,0.2335,0.197
12,1-0021230 - Lanesborough - Document_ID_587486 MW C.pdf,01/08/21 09:50,TB-2,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.319,0.2265,0.19875,0.2335,0.197
13,1-0021230 - Lanesborough - Document_ID_587486 MW C.pdf,01/08/21 10:20,TB-3,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.349,0.2265,0.19875,0.2335,0.197
14,1-0021230 - Lanesborough - Document_ID_587486 MW C.pdf,01/08/21 10:48,TB-4,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
15,2-0020439 - Hudson - Document_ID_474340 MW A.pdf,10/03/18 10:32,Z2-1-10032018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,23.7,0.121,0.221,0.219,593.0,0.2265,0.19875,0.2335,0.197
16,2-0020439 - Hudson - Document_ID_474340 MW A.pdf,10/03/18 11:00,Z2-2-10032018,Alpha,Water,ng/l,0.258,3.15,0.296,0.298,23.5,0.121,0.221,0.219,501.0,0.2265,0.19875,0.2335,0.197
17,2-0020439 - Hudson - Document_ID_474340 MW A.pdf,10/03/18 11:15,Z2-3-10032018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,13.4,0.121,0.221,0.219,360.0,0.2265,0.19875,0.2335,0.197
18,2-0020439 - Hudson - Document_ID_474340 MW A.pdf,10/03/18 12:10,Z2-4-10032018,Alpha,Water,ng/l,0.258,2.09,0.296,0.298,2.86,0.121,0.221,0.219,38.9,0.2265,0.19875,0.2335,0.197
19,2-0020439 - Hudson - Document_ID_474340 MW A.pdf,10/03/18 13:10,Z2-5-10032018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,2.09,0.121,2.04,0.219,28.1,4.02,0.19875,0.2335,0.197
20,2-0020439 - Hudson - Document_ID_474340 MW.pdf,10/02/18 13:09,MW-106-10022018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,50.1,0.121,0.221,0.219,899.0,0.2265,0.19875,0.2335,0.197
21,2-0020439 - Hudson - Document_ID_474340 MW.pdf,10/02/18 13:20,MW-101-10022018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,3.62,0.121,0.221,0.219,77.8,0.2265,0.19875,0.2335,0.197
22,2-0020439 - Hudson - Document_ID_474340 MW.pdf,10/02/18 13:32,MW-105-10022018,Alpha,Water,ng/l,0.258,3.16,0.296,0.298,9.9,0.121,1.94,3.63,96.4,0.2265,0.19875,0.2335,0.197
23,2-0020439 - Hudson - Document_ID_474340 MW.pdf,10/02/18 14:46,DUP-01,Alpha,Water,ng/l,0.258,68.7,0.296,0.298,8.04,0.121,0.221,2.8,84.6,2.91,0.19875,0.2335,0.197
24,2-0020439 - Hudson - Document_ID_474340 MW.pdf,10/02/18 14:46,MW-103-10022018,Alpha,Water,ng/l,0.258,72.5,0.296,0.298,9.14,0.121,0.221,2.94,90.0,2.32,0.19875,0.2335,0.197
25,2-0020439 - Hudson - Document_ID_474340 Roof.pdf,09/18/18 09:15,ROOF-WEST-09182018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,81.7,0.121,0.221,31.9,1150.0,0.2265,0.19875,0.2335,0.197
26,2-0020439 - Hudson - Document_ID_474340 Roof.pdf,09/18/18 09:45,ROOF-EAST-09182018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,48.6,0.121,0.221,45.1,396.0,0.2265,0.19875,0.2335,0.197
27,2-0020439 - Hudson - Document_ID_474340 Roof.pdf,09/18/18 10:05,STORMDRAIN-09182018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,2.48,31.0,3.55,0.19875,0.2335,0.197
28,2-0020439 - Hudson - Document_ID_481458 MW.pdf,10/03/18 10:32,Z2-1-10032018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,23.7,0.121,0.221,0.219,593.0,0.2265,0.19875,0.2335,0.197
