,report,date_sampled,sample_id,lab,Matrix,Units,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTA,PFTrDA,PFUnA
0,1-0021289 - Northfield - Document_ID_613269 (1).pdf,06/22/21 11:14,119-CR-KIT SINK,Alpha,Dw,ng/l,2.08,0.296,0.298,0.1195,0.121,0.221,0.219,0.619,0.2265,0.19875,0.2335,0.197
1,1-0021289 - Northfield - Document_ID_613269.pdf,06/22/21 11:14,119-CR-KIT SINK,Alpha,Dw,ng/l,2.08,0.296,0.298,0.1195,0.121,0.221,0.219,0.619,0.2265,0.19875,0.2335,0.197
2,1-0021289 - Northfield - Document_ID_613379 (1).pdf,06/22/21 09:25,563-PMR-KIT SINK,Alpha,Dw,ng/l,8.8,0.296,0.298,2.7,1.88,0.221,0.219,17.7,0.2265,0.19875,0.2335,0.197
3,1-0021289 - Northfield - Document_ID_613379.pdf,06/22/21 09:25,563-PMR-KIT SINK,Alpha,Dw,ng/l,8.8,0.296,0.298,2.7,1.88,0.221,0.219,17.7,0.2265,0.19875,0.2335,0.197
4,1-0021289 - Northfield - Document_ID_613395 (1).pdf,06/22/21 14:26,20 RVD-KIT SINK,Alpha,Dw,ng/l,24.4,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
5,1-0021289 - Northfield - Document_ID_613395 (1).pdf,06/22/21 14:30,20-RVD-RAW,Alpha,Dw,ng/l,26.2,0.296,0.298,0.1195,0.121,0.221,0.219,1.26,0.917,0.19875,0.2335,0.197
6,1-0021289 - Northfield - Document_ID_613395.pdf,06/22/21 14:26,20 RVD-KIT SINK,Alpha,Dw,ng/l,24.4,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
7,1-0021289 - Northfield - Document_ID_613395.pdf,06/22/21 14:30,20-RVD-RAW,Alpha,Dw,ng/l,26.2,0.296,0.298,0.1195,0.121,0.221,0.219,1.26,0.917,0.19875,0.2335,0.197
8,1-0021289 - Northfield - Document_ID_613396 (1).pdf,06/22/21 13:35,23-RVD-KIT SINK,Alpha,Dw,ng/l,15.4,0.296,0.298,0.1195,2.89,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
9,1-0021289 - Northfield - Document_ID_613396 (1).pdf,06/22/21 13:40,23-RVD-RAW,Alpha,Dw,ng/l,15.0,0.296,0.298,0.1195,3.02,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
10,1-0021289 - Northfield - Document_ID_613396.pdf,06/22/21 13:35,23-RVD-KIT SINK,Alpha,Dw,ng/l,15.4,0.296,0.298,0.1195,2.89,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
11,1-0021289 - Northfield - Document_ID_613396.pdf,06/22/21 13:40,23-RVD-RAW,Alpha,Dw,ng/l,15.0,0.296,0.298,0.1195,3.02,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
12,1-0021289 - Northfield - Document_ID_613397 (1).pdf,06/22/21 10:08,34-RVD-KIT SINK,Alpha,Dw,ng/l,20.1,0.296,0.298,0.1195,0.121,0.221,0.219,1.34,0.2265,0.19875,0.2335,0.197
13,1-0021289 - Northfield - Document_ID_613397.pdf,06/22/21 10:08,34-RVD-KIT SINK,Alpha,Dw,ng/l,20.1,0.296,0.298,0.1195,0.121,0.221,0.219,1.34,0.2265,0.19875,0.2335,0.197
14,1-0021289 - Northfield - Document_ID_613399 (1).pdf,06/22/21 08:55,603-PMR-KIT-SINK,Alpha,Dw,ng/l,13.4,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
15,1-0021289 - Northfield - Document_ID_613399.pdf,06/22/21 08:55,603-PMR-KIT-SINK,Alpha,Dw,ng/l,13.4,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
16,1-0021289 - Northfield - Document_ID_624217 (1).pdf,09/07/21 11:52,6-RVD-KIT,Alpha,Dw,ng/l,24.4,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
17,1-0021289 - Northfield - Document_ID_624217.pdf,09/07/21 11:52,6-RVD-KIT,Alpha,Dw,ng/l,24.4,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
18,1-0021289 - Northfield - Document_ID_624219 (1).pdf,09/07/21 12:50,548-PMR-KIT,Alpha,Dw,ng/l,11.2,0.296,0.298,0.749,2.43,0.221,0.219,3.26,0.2265,0.19875,0.2335,0.197
19,1-0021289 - Northfield - Document_ID_624219.pdf,09/07/21 12:50,548-PMR-KIT,Alpha,Dw,ng/l,11.2,0.296,0.298,0.749,2.43,0.221,0.219,3.26,0.2265,0.19875,0.2335,0.197
20,11 Radford Road 2-14-20.pdf,2/14/2020,20B0847-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0756849315,1.0052348335,2.7,2.3,1.005255403,1.0052348335,1.0052348335
21,16 Worcester Road 2-5-20.pdf,2/5/2020,20B0264-01,Con-Test,Drinking Water,ng/l,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0052348335,1.0756849315,1.0052348335,2.2,1.20092955,1.005255403,1.0052348335,1.0052348335
22,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 08:05,115-PARMENTER-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,12.2,0.2265,0.19875,0.2335,0.197
23,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 08:22,19-PARMENTER-10152018,Alpha,Dw,ng/l,12.3,0.296,0.298,3.36,0.121,0.221,0.219,27.7,0.2265,0.19875,0.2335,0.197
24,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 09:04,27-PARMENTER-10152018,Alpha,Dw,ng/l,3.98,0.296,0.298,6.02,0.121,2.64,0.219,14.5,30.1,0.19875,0.2335,0.197
25,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 09:25,81-PARMENTER-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,3.24,0.121,0.221,0.219,20.5,0.2265,0.19875,0.2335,0.197
26,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 09:25,other,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,9.26,0.2265,0.19875,0.2335,0.197
27,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 09:44,58-PARMENTER-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,2.59,0.2265,0.19875,0.2335,0.197
28,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 10:12,3-ANNIE-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,2.82,0.121,3.26,2.42,7.12,2.84,0.19875,0.2335,0.197
29,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 10:35,76-PARMENTER-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,5.74,0.2265,0.19875,0.2335,0.197
30,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 10:51,50-PARMENTER-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,3.33,0.2265,0.19875,0.2335,0.197
31,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 11:13,5-ANNIE-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,3.75,0.2265,0.19875,0.2335,0.197
32,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 11:30,4-ANNIE-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,6.3,0.2265,0.19875,0.2335,0.197
33,2-0020439 - Hudson - Document_ID_474340 DW A.pdf,10/15/18 11:47,128-PARMENTER-10152018,Alpha,Dw,ng/l,0.1305,0.296,0.298,3.37,0.121,1.95,0.219,18.4,2.47,0.19875,0.2335,0.197
