,index,Facility,Sample Collection Date,Sample Field ID,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTrDA,PFUnA,Units
0,0,Amesbury WTP,9/9/2020, ,0.137889807910052,1.05000226368523,0.469734879525884,0.123538914980573,0.322262146983659,1.3,0.445036121799616,0.378238766573701,41.0,1.3,0.472860290705964,g/kg
1,1,Amesbury WTP,12/2/2020,A49324,0.0108715362073581,3.8,0.161285489743854,0.0464506034573296,0.339731039202206,0.325,7.53,4.81,59.9,1.3,0.184416950108448,g/kg
2,2,Amesbury WTP,12/2/2020,A49325,0.0412445174516531,4.29,0.281250410024706,0.0930435637544821,0.35291503527802,0.3315,8.44,5.43,68.8,1.325,0.29570938274992,g/kg
3,3,Amesbury WTP,3/3/2021,Primary,0.0255775065181062,1.54,0.43807335451277,0.0946990730071573,0.101096627922482,0.3505,2.45,1.83,42.4,0.7,0.260903747746715,g/kg
4,4,Amesbury WTP,3/3/2021,Duplicate,0.0255775065181062,1.55,0.264713431974154,0.0946990730071573,0.232041487522391,0.3545,2.4,2.06,43.5,0.71,0.263110997567628,g/kg
5,5,Amesbury WTP,6/16/2021,A53246,0.0246555723194508,1.88,0.248677639070378,0.0879769450872219,0.204633239288165,0.2895,1.79,0.74,40.8,0.58,0.254170723818411,g/kg
6,6,Amesbury WTP,6/16/2021,A53247,0.0255775065181062,2.01,0.258273100107661,0.0913825746880076,0.210221649520855,0.3055,1.89,0.782,43.8,0.61,0.258652705813518,g/kg
7,13,Barnhardt,3/23/2021,Primary,0.0255775065181062,0.256568890077756,0.264713431974154,0.102607863361954,0.248737504378285,0.4075,0.315155059580527,0.319975901404471,0.572986587259224,0.815,0.263110997567628,g/kg
8,14,Barnhardt,3/23/2021,Duplicate,0.0255775065181062,0.159132815178963,0.264713431974154,0.0508404202940511,0.248737504378285,0.405,0.315155059580527,0.319975901404471,0.572986587259224,0.81,0.263110997567628,g/kg
9,15,Barnhardt,6/8/2021,Primary,0.026281694519166,10.8,2.86,0.110153824915926,5.01,0.53,1.18,2.42,5.52,1.06,0.282455450905575,g/kg
10,16,Barnhardt,6/8/2021,Duplicate,0.0269920456165465,0.309993432101802,0.275958922914288,0.110153824915926,0.0880090046777248,0.535,0.353411757440836,0.427088562978201,0.685196117178465,1.075,0.282455450905575,g/kg
11,21,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,5.2,0.181924641886725,0.179418450823406,5.7,7.9,9.1,0.299885008336931,16.0,50.0,3.05,2.15,g/kg
12,22,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,0.133658421905769,0.236870007571362,0.178300702366339,0.252974665424153,4.0,4.7,0.284483972715891,7.5,26.0,2.2,1.55,g/kg
13,23,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,1.2,1.2,0.109015046024864,0.0862628809073957,8.0,0.28,0.287480292992156,2.7,1.3122673886216,0.455,0.201180432264349,g/kg
14,24,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,0.94,1.6,0.248677639070378,0.0576622312055002,8.8,0.27,0.67,3.0,1.25955231927534,0.445,0.68,g/kg
15,25,Bridgewater Sewer,1/27/2021,Primary,0.0255775065181062,0.194164261631087,0.158891034421261,0.102607863361954,16.0,0.46,0.353411757440836,5.9,1.81827910706287,1.15,0.474057606652889,g/kg
16,26,Bridgewater Sewer,1/27/2021,Duplicate,0.0255775065181062,0.21736513643286,0.200803377748725,0.104112707225238,17.0,0.495,0.52714753198553,0.661842853669891,1.89516216673051,1.15,0.382690083069841,g/kg
17,27,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,0.49,3.0,1.2,0.6,7.3,0.0315,0.67,5.1,4.8,0.05,0.61,g/kg
18,28,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,1.6,3.4,1.2,0.48,6.3,0.0375,0.71,5.1,5.1,0.06,0.58,g/kg
19,31,Cascades Paper Mill,12/11/2020,Primary,0.0076242528381657,0.303103829888989,0.0939725517662802,0.102607863361954,0.0968967285141875,0.475,0.184606108312251,1.06390838805931,1.83751361997305,1.15,0.254170723818411,g/kg
20,32,Cascades Paper Mill,12/11/2020,Duplicate,0.0255775065181062,0.182466093201902,0.57023948696271,0.0994498867534991,0.353238729183852,0.405,0.350062355299456,0.974431076629079,1.6049747585436,1.15,0.246507282034088,g/kg
