,RTN,date_sampled_well_well,sample_id,lab,Matrix,lat,lon,NEtFOSAA_well,PFBS_well,PFDA_well,PFDoA_well,PFHpA_well,PFHxA_well,PFHxS_well,PFNA_well,PFOA_well,PFOS_well,PFTA_well,PFTrDA_well,PFUnA_well,geometry
0,1-0021289,06/22/21 07:20,684-PMR-RAW,Alpha,Dw,42.6416606,-72.47533513325892,0.258,0.29741665516384297,0.294,0.294,0.1930804490783058,0.2785636245962695,0.08174440050302755,0.11619805265093446,0.43774442091099053,0.421029888706456,0.19875,0.2335,0.294,POINT (-72.47533513325892 42.6416606)
1,1-0021289,06/22/21 07:25,684-PMR-KIT SINK,Alpha,Dw,42.6416606,-72.47533513325892,0.258,0.29741665516384297,0.306,0.306,0.1930804490783058,0.2785636245962695,0.08174440050302755,0.11619805265093446,0.43774442091099053,0.4892658519497145,0.19875,0.2335,0.306,POINT (-72.47533513325892 42.6416606)
2,1-0021289,06/22/21 08:21,700-PMR-KIT SINK,Alpha,Dw,42.64249285,-72.4739921948855,0.258,0.29741665516384297,0.304,0.304,0.267999213518307,0.21105086052984073,0.12466685755703966,0.185705541562346,0.43774442091099053,0.7736237289800135,0.19875,0.2335,0.304,POINT (-72.4739921948855 42.64249285)
3,1-0021289,06/22/21 08:55,603-PMR-KIT-SINK,Alpha,Dw,42.6372627,-72.47966324873443,0.258,13.4,0.302,0.302,0.1930804490783058,0.2785636245962695,0.08174440050302755,0.11619805265093446,0.43774442091099053,0.4892658519497145,0.19875,0.2335,0.302,POINT (-72.47966324873443 42.6372627)
4,1-0021289,06/22/21 09:25,563-PMR-KIT SINK,Alpha,Dw,42.636279650000006,-72.48153765079185,0.258,8.8,0.301,0.301,2.7,1.88,0.05878161262417014,0.185705541562346,17.7,0.645268775489534,0.19875,0.2335,0.301,POINT (-72.48153765079185 42.63627965000001)
5,1-0021289,06/22/21 10:08,34-RVD-KIT SINK,Alpha,Dw,42.635539699999995,-72.47777680377666,0.258,20.1,0.3035,0.3035,0.1930804490783058,0.2785636245962695,0.08174440050302755,0.11619805265093446,1.34,0.4892658519497145,0.19875,0.2335,0.3035,POINT (-72.47777680377666 42.6355397)
6,1-0021289,06/22/21 11:14,119-CR-KIT SINK,Alpha,Dw,42.626171799999995,-72.47882749467215,0.258,2.08,0.304,0.304,0.14442304162970784,0.3765568857667755,0.05878161262417014,0.08234919502982756,0.619,0.248712314671855,0.19875,0.2335,0.304,POINT (-72.47882749467215 42.62617179999999)
7,1-0021289,06/22/21 11:58,101-CR-KIT SINK,Alpha,Dw,42.6266153,-72.47760747194754,0.258,0.29741665516384297,0.301,0.301,0.1930804490783058,0.2785636245962695,0.12466685755703966,0.08234919502982756,0.43774442091099053,0.3770672681623345,0.19875,0.2335,0.301,POINT (-72.47760747194754 42.6266153)
8,1-0021289,06/22/21 13:34,23-RVD-RO-TAP,Alpha,Dw,42.63573195,-72.47914650846324,0.258,0.29741665516384297,0.3015,0.3015,0.1930804490783058,0.2785636245962695,0.08174440050302755,0.11619805265093446,0.43774442091099053,0.4892658519497145,0.19875,0.2335,0.3015,POINT (-72.47914650846324 42.63573195)
9,1-0021289,06/22/21 13:35,23-RVD-KIT SINK,Alpha,Dw,42.63573195,-72.47914650846324,0.258,15.4,0.305,0.305,0.40162017919620396,2.89,0.19890376445671298,0.303757638659856,0.7908013635005591,0.9260006601131956,0.19875,0.2335,0.305,POINT (-72.47914650846324 42.63573195)
