,RTN,date_sampled_well,sample_id_x,lab_x,Matrix_x,lat_x,lon_x,NEtFOSAA_well,PFBS_well,PFDA_well,PFDoA_well,PFHpA_well,PFHxA_well,PFHxS_well,PFNA_well,PFOA_well,PFOS_well,PFTA_well,PFTrDA_well,PFUnA_well,elevation_well,MUSYM_well,BROCKDEPMI_well,WTDEPANNMI_well,FLODFREQDC_well,FLODFREQMA_well,PONDFREQPR_well,DRCLASSDCD_well,DRCLASSWET_well,HYDGRPDCD_well,SLOPE_well,SLOPEGRADD_well,SLOPEGRADW_well,map_unit_groups_well,slope_phase_well,primary_series_well,secondary_series_well,tertiary_series_well,primary_texture_well,secondary_texture_well,tertiary_texture_well,extra_desc_well,slope_aspect_well,level_0_DS,index_DS,report,lab_y,sample_id_y,Matrix_y,date_sampled_ds,lat_y,lon_y,NEtFOSAA_DS,PFBS_DS,PFDA_DS,PFDoA_DS,PFHpA_DS,PFHxA_DS,PFHxS_DS,PFNA_DS,PFOA_DS,PFOS_DS,PFTA_DS,PFTrDA_DS,PFUnA_DS,elevation_ds,MUSYM_ds,BROCKDEPMI_ds,WTDEPANNMI_ds,FLODFREQDC_ds,FLODFREQMA_ds,PONDFREQPR_ds,DRCLASSDCD_ds,DRCLASSWET_ds,HYDGRPDCD_ds,SLOPE_ds,SLOPEGRADD_ds,SLOPEGRADW_ds,map_unit_groups_ds,slope_phase_ds,primary_series_ds,secondary_series_ds,tertiary_series_ds,primary_texture_ds,secondary_texture_ds,tertiary_texture_ds,extra_desc_ds,slope_aspect_ds,elevation_ds_to_well,Notif_Date,days_since_release,distance_ds_to_well,bearing_ds_to_well
0,2-0020439,2019-07-30 00:00:00,107-WP,SGS,DW - Drinking Water,42.3861417,-71.4844945447321,0.915,0.72153660509558,0.95,1.9,8.13,12.0,7.31,0.428971633864376,8.16,8.57,0.355,0.355,1.9,64,259B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,5,2018-01-24 00:00:00,552.0,0.0001229528185197996,85.29567236406282
1,2-0020439,2019-07-30 00:00:00,115-WP,SGS,DW - Drinking Water,42.38572365,-71.48421877366795,0.915,0.874765933700608,0.95,1.9,0.712951362870255,0.717704861561683,0.396203984097133,0.519958642837388,1.48226899926795,1.57377440424867,0.355,0.355,1.9,64,259B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,carver,nan,nan,loamy coarse sand,nan,nan,nan,225.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,5,2018-01-24 00:00:00,552.0,0.00012874608437152775,88.2587851132802
2,2-0020439,2019-07-30 00:00:00,159-WP,SGS,DW - Drinking Water,42.3830744,-71.48460286267394,0.915,2.96,0.95,1.9,0.853082379612972,0.128191708725974,0.307025051306549,0.45731763140172,5.78,1.20555097465405,0.355,0.355,1.9,66,255B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,18.434951782226562,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,552.0,0.0001258514731619364,106.47789111576033
3,2-0020439,2019-07-30 00:00:00,169-WP,SGS,DW - Drinking Water,42.38268755,-71.48468023745684,0.915,5.15,1.0,2.0,0.128218308457146,7.57,0.0778598386634891,0.0779021447135107,3.86,0.290723773220581,0.355,0.355,2.0,66,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,135.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,552.0,0.00012616419338292174,109.08673123531386
4,2-0020439,2019-07-30 00:00:00,189-WP,SGS,DW - Drinking Water,42.38172755,-71.48629084396677,0.915,0.55369119131269,0.95,1.9,0.650419444522945,2.25058945782198,0.221733821397092,0.332215525754606,1.3606270989714,1.00009894511655,0.355,0.355,1.9,65,52A,,15.0,None,None,0-14%,Very poorly drained,Very poorly drained,D,A,1.0,1.0,"Water, poorly, and very poorly drained soils",0 to 1 percent slopes,freetown,nan,nan,muck,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,4,2018-01-24 00:00:00,552.0,9.996691111066604e-05,118.64848087246642
5,2-0020439,2019-07-30 00:00:00,201-WP,SGS,DW - Drinking Water,42.3809615,-71.48709959033994,0.915,0.820692956131375,0.95,1.9,1.0161482126543,0.351290133159565,0.371841084696998,0.554584316582506,1.61156745197566,1.44215001286543,0.355,0.355,1.9,69,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,116.56504821777344,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,0,2018-01-24 00:00:00,552.0,9.194392230343916e-05,125.79410103204123
6,2-0020439,2019-07-30 00:00:00,69-WP,SGS,DW - Drinking Water,42.38743685,-71.48636519177211,0.915,0.217272944828384,1.0,2.0,0.136412976887957,0.743142892004784,0.0794390909217793,0.0834232284322078,0.333181054718017,0.297629750489516,0.355,0.355,2.0,66,255B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,552.0,8.846205142434796e-05,73.84583022102386
7,2-0020439,2019-07-30 00:00:00,75-WP,SGS,DW - Drinking Water,42.38728585,-71.4858771,0.915,2.63,0.95,1.9,0.592415858451599,1.30537309543962,2.59,0.225603036270724,11.2,4.98,0.355,0.355,1.9,66,255B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,552.0,9.710726597989054e-05,75.75043692246625
8,2-0020439,2019-08-02 00:00:00,168-WP,SGS,DW - Drinking Water,42.38191785,-71.48427789956938,0.915,2.18,0.95,1.85,0.359695230461286,2.55540002877078,0.118982772649103,0.19782934951164,6.65,2.15,0.355,0.355,1.85,66,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,555.0,0.0001399577825388969,113.07472020393816
9,2-0020439,2019-08-02 00:00:00,178-WP,SGS,DW - Drinking Water,42.3809078,-71.48439768154873,0.915,3.75,0.9,1.8,4.71,15.2,2.06,0.144529244752863,15.9,13.0,0.355,0.355,1.8,66,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,555.0,0.0001454636214634545,118.94481057492018
