FID,SHAPE_Leng,SHAPE_Area,MAP_PAR_ID,LOC_ID,POLY_TYPE,MAP_NO,SOURCE,PLAN_ID,LAST_EDIT,BND_CHK,NO_MATCH,TOWN_ID
0,327.1653848,5471.719834,29-11,M_273505_792598,FEE,29,ASSESS,T,20111222, ,N,327
1,325.3777294,5788.736193,29-13,M_273456_792487,FEE,29,ASSESS,CH,20111222, ,N,327
2,343.6180967,6558.463288,29-14,M_273428_792439,FEE,29,ASSESS,AE,20111222, ,N,327
3,361.4201997,6591.876735,29-16,M_273386_792343,FEE,29,ASSESS,S,20111222, ,N,327
4,373.920757,5914.478897,29-17,M_273378_792294,FEE,29,ASSESS,Pending,20111222, ,N,327
5,336.1946656,5568.808012,29-2,M_273710_792971,FEE,29,ASSESS,BH,20111222, ,N,327
6,374.0272692,5685.620498,29-2-1,M_273764_793004,FEE,29,ASSESS,U,20111222, ,N,327
7,503.3738452,10816.05365,29-23,M_274008_792905,FEE,29,ASSESS,L,20111222, ,N,327
8,332.7565421,5831.797174,29-24,M_273499_792168,FEE,29,ASSESS,CQ,20111222, ,N,327
9,343.0631054,5705.529046,29-25,M_273515_792214,FEE,29,ASSESS,R,20111222, ,N,327
10,393.7889618,5675.861732,29-27,M_273531_792305,FEE,29,ASSESS,AK,20111222, ,N,327
11,403.1477632,6530.646106,29-28,M_273542_792343,FEE,29,ASSESS,AQ,20111222, ,N,327
12,336.4353401,5666.630976,29-3,M_273679_792928,FEE,29,ASSESS,AN,20111222, ,N,327
13,420.3496925,7491.405502,29-31,M_273590_792448,FEE,29,ASSESS,BS,20111222, ,N,327
14,354.5669213,5601.175291,29-35,M_273674_792593,FEE,29,ASSESS,BE,20111222, ,N,327
15,369.4233157,6865.175111,29-37,M_273721_792685,FEE,29,ASSESS,BO,20111222, ,N,327
16,351.4681808,5726.022774,29-39,M_273760_792768,FEE,29,ASSESS,H,20111222, ,N,327
17,343.7845919,5684.653554,29-4,M_273655_792889,FEE,29,ASSESS,I,20111222, ,N,327
18,363.3160218,6550.512659,29-40,M_273773_792813,FEE,29,ASSESS,C,20111222, ,N,327
19,371.5960136,7391.445803,29-42,M_273815_792901,FEE,29,ASSESS, BJ,20111222, ,N,327
20,340.5930619,5749.829323,29-43,M_273846_792946,FEE,29,ASSESS,J,20111222, ,N,327
21,386.9061865,7412.810222,29-44,M_273875_792998,FEE,29,ASSESS,F,20111222, ,N,327
22,559.6394969,10751.24758,29-45-1,M_274076_793062,FEE,29,ASSESS,CF,20111222, ,N,327
23,518.8785869,10613.18754,29-45-2,M_274054_793010,FEE,29,ASSESS,E,20111222, ,N,327
24,502.6263698,10636.79163,29-46,M_274031_792957,FEE,29,ASSESS,B,20111222, ,N,327
25,612.8192527,21411.33138,29-47,M_273960_792836,FEE,29,ASSESS,G,20111222, ,N,327
26,616.6344643,21235.55204,29-48,M_273926_792731,FEE,29,ASSESS,Y,20111222, ,N,327
27,385.5850504,8951.650827,29-49-1,M_273918_792613,FEE,29,ASSESS,X,20111222, ,N,327
28,461.4480939,12762.47357,29-49-2,M_273831_792659,FEE,29,ASSESS,AS,20111222, ,N,327
29,344.4309972,5726.168553,29-5,M_273632_792851,FEE,29,ASSESS,AU,20111222, ,N,327
30,372.4090577,8414.626352,29-50,M_273887_792520,FEE,29,ASSESS,P,20111222, ,N,327
31,428.9587337,10985.82014,29-53,M_273742_792225,FEE,29,ASSESS,AX,20111222, ,N,327
32,518.4361948,10850.68909,29-54,M_273671_792170,FEE,29,ASSESS,Q,20111222, ,N,327
33,452.8788556,12871.91358,29-56,M_273790_792547,FEE,29,ASSESS,AW,20111222, ,N,327
34,507.0186224,10556.49426,29-57,M_273786_792409,FEE,29,ASSESS,AC,20111222, ,N,327
35,355.9973679,5683.494667,29-6,M_273616_792811,FEE,29,ASSESS,BG,20111222, ,N,327
36,403.6697396,8669.549462,29-61,M_273377_792598,FEE,29,ASSESS,AF,20111222, ,N,327
37,327.5539977,5894.414265,29-63,M_273231_792510,FEE,29,ASSESS,BR,20111222, ,N,327
38,347.7747988,6280.505515,29-65,M_273186_792414,FEE,29,ASSESS,AR,20111222, ,N,327
39,354.8754905,6178.635111,29-66,M_273166_792369,FEE,29,ASSESS,AB,20111222, ,N,327
40,365.7006096,6410.381348,29-67,M_273147_792326,FEE,29,ASSESS,CA,20111222, ,N,327
41,377.91326,7454.715919,29-7,M_273599_792763,FEE,29,ASSESS,N,20111222, ,N,327
42,378.2887576,6915.67836,29-70,M_273080_792198,FEE,29,ASSESS,BK,20111222, ,N,327
43,301.0436277,5548.223883,29-76,M_273328_792457,FEE,29,ASSESS,BT,20111222, ,N,327
44,423.3921322,10644.72838,29-78,M_273652_792266,FEE,29,ASSESS,AD,20111222, ,N,327
45,189.9307273,2217.124119,29-86-1,M_274483_792862,FEE,29,ASSESS,ZZ,20111222, ,N,327
46,227.5993821,2884.146957,29-86-13,M_274484_792210,FEE,29,ASSESS,CJ,20111222, ,N,327
47,244.1802529,3676.836578,29-86-21,M_274454_792545,FEE,29,ASSESS,CR,20111222, ,N,327
48,222.0965746,2928.860439,29-86-3,M_274479_792769,FEE,29,ASSESS,BZ,20111222, ,N,327
49,236.8893234,3297.729968,29-86-4,M_274477_792725,FEE,29,ASSESS,CK,20111222, ,N,327
