,report,RTN,address,sample_id
0,3-0036649 - Chelmsford - Document_ID_584782.pdf,3-0036649,,MW-1
1,3-0036649 - Chelmsford - Document_ID_584782.pdf,3-0036649,,MW-2
2,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,10 BEECH EFF
3,L2109630 - 9 Beechnut Lane.pdf,2-0021045,,9 BEECH EFF
4,L2109626 - 296 Chestnut Street.pdf,2-0021045,,296 CHEST
5,L2109631 - 308 Chestnut Street.pdf,2-0021045,,308 CHEST EFF
6,L2109462 - 343 Chestnut Street.pdf,2-0021045,,343 CHEST
7,Town Hall Well Data - Whitewater.pdf,2-0021072,,TC001G WELL 1
10,L2109458 - 290 Chestnut Street.pdf,2-0021045,,290 CHEST EFF
11,L2109458 - 290 Chestnut Street 2.pdf,2-0021045,,290 CHEST EFF
12,L2109633 - 3 Beechnut Lane.pdf,2-0021045,,3 BEECH
13,L2112364 - 264 Chestnut Street.pdf,2-0021045,,264 CHEST EFF
15,L2109634 - 307 Chestnut Street.pdf,2-0021045,,307 CHEST EFF
17,L2112364 - 264 Chestnut Street.pdf,2-0021045,,264 CHEST MID
18,L2109632 - 359 Chestnut Street.pdf,2-0021045,,359 CHEST
19,L2109455 - 5 Beechnut Lane.pdf,2-0021045,,5 BEECH EFF
21,L2109626 - 296 Chestnut Street.pdf,2-0021045,,296 CHEST EFF
23,L2109456 - 3 Stony Brook Road.pdf,2-0021045,,3 STONY MID
24,L2109458 - 290 Chestnut Street.pdf,2-0021045,,290 CHEST MID
25,Town Hall Well Data - Whitewater.pdf,2-0021072,,TC001G WELL1
26,L2112370 - 10 Beechnut Lane.pdf,2-0021045,,10 BEECH MID
27,L2109458 - 290 Chestnut Street 2.pdf,2-0021045,,290 CHEST
28,L2109461 - 305 Chestnut Street.pdf,2-0021045,,305 CHEST EFF
29,L2109458 - 290 Chestnut Street.pdf,2-0021045,,290 CHEST
30,L2109634 - 307 Chestnut Street.pdf,2-0021045,,307 CHEST MID
31,L2109458 - 290 Chestnut Street 2.pdf,2-0021045,,290 CHEST MID
32,L2115773 - 343 Chestnut Street.pdf,2-0021045,,343 CHEST
33,L2109631 - 308 Chestnut Street.pdf,2-0021045,,308 CHEST MID
34,L2112364 - 264 Chestnut Street.pdf,2-0021045,,264 CHEST
