AOS Facility Name,Associated MassDEP Region ,MassDEP Bureau,Location of Facility,Management Facility,Mailing Address 1 Facility,Mailing Address 1 Job,Mailing Address 1 Street,Mailing Address 1 Town,Mailing Address 2 Facility,Mailing Address 2 title,Mailing Address 2 First Name,Mailing Address 2 Last Name,Mailing Address 2 Job,Mailing Address 2 Street,Mailing Address 2 Town,Mailing Address 3 Facility,Mailing Address 3 title,Mailing Address 3 First Name,Mailing Address 3 Last Name,Mailing Address 3 Street,Mailing Address 3 Town
Amesbury WTP,NERO,BWR- DW,Amesbury,Amesbury,Amesbury Water Department,,12 Newton Rd,"Amesbury, MA 01913",,,,,,,,,,,,,
Barnhardt,WERO,BWR-WW,Barnhardt,Barnhardt,Barnhardt Manufacturing Company,Plant Manager ,247 Main Road ,"Colrain, MA 01340",Barnhardt Manufacturing Company,Mr.,Keith ,Gammell,,247 Main Road ,"Colrain, MA 01340",,,,,,
Braintree Water and Sewer,NERO,BWR- DW,,,Braintree Water & Sewer Dept. ,Water Works Assistant Superintendent ,300 King Hill Road,"Braintree, MA 02184 ",,,,,,,,,,,,,
Bridgewater Sewer,SERO,BWR-WW,Bridgewater,Town of Bridgewater,Bridgewater Water Pollution Control Facility,,100 Morris Ave,"Bridgewater, MA 02324",,,,,,,,,,,,,
"Bristol RI, WPCF",Boston,BWR-WW,"Bristol, RI",Agresource Inc.,"Town of Bristol, RI",Water Pollution Control Superintendent,10 Court St.,"Bristol, RI 02809",Agresource,Mr.,Mike  ,Carignan,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,
Cascades Paper Mill,Boston,BWR-WW,"Holderness, NH",RMI,Cascades Tissue Group- Mechanicsville,,510 South Main Street,"Mechanicville, NY ","Resource Management, Inc.",Ms.,April,Sargent,,1171 NH RT 175,"Holderness, NH 03245",,,,,,
"Concord, NH WWTF",Boston,BWR-WW,"Concord, NH",RMI,"City of Concord, NH- Hall Street Wastewater Treatment Facility (WWTF)",Superintendent,125 Hall Street,"Concord, NH 03301","Resource Management, Inc.",Ms.,April,Sargent,,1171 NH RT 175,"Holderness, NH 03245",,,,,,
Dartmouth WWTF,SERO,BWR-WW,Dartmouth,Town of Dartmouth,Dartmouth Water Pollution Control Facility,,759 Russells Mills Road,"Dartmouth, MA 02748",Casella Organics,Ms.,Mary,Waring,Compliance Manager,"755 Banfield Road, Suite 201","Portsmouth, NH 03801",,,,,,
"EarthSource, Inc.",SERO,BWR-WW,Raynham,"EarthSource, Inc.","Earth Source, Inc.",President ,1958 Broadway,"Raynham, MA 02767",,,,,,,,,,,,,
Eresco (Erving),WERO,BWR-WW,"Erseco, Inc.","Erseco, Inc.",Erving Board of Selectmen,Chair Board of Selectmen,12 East Main Street,"Erving, MA 01344","Erseco, Inc.",Ms.,Julie ,Hubbard,,97 East Main Street,"Erving, MA 01344",Casella Organics,Mr.,Mark ,Lyons,"755 Banfield Road, Suite 201","Portsmouth, NH 03801"
Greater Lawrence Sanitary District,,,,,Greater Lawrence Sanitary District ,,240 Charles St,"North Andover, MA 01845",Synagro Inc. ,Mr.,Layne ,Baroldi,,435 Williams Court ,"Baltimore, MD 21220 ",,,,,,
