,AOS Facility Name,Laboratory planning to use,Associated MassDEP Region ,MassDEP Bureau,Location of Facility,Management Facility,Mailing Address 1 Facility,Mailing Address 1 Job,Mailing Address 1 Street,Mailing Address 1 Town,Mailing Address 2 Facility,Mailing Address 2 title,Mailing Address 2 First Name,Mailing Address 2 Last Name,Mailing Address 2 Job,Mailing Address 2 Street,Mailing Address 2 Town,Mailing Address 3 Facility,Mailing Address 3 title,Mailing Address 3 First Name,Mailing Address 3 Last Name,Mailing Address 3 Street,Mailing Address 3 Town,full_address,lat,lon
0,Amesbury Water,Alpha Analytical,NERO,BWR- DW,Amesbury,Amesbury,Amesbury Water Department,,12 Newton Rd,"Amesbury, MA 01913",,,,,,,,,,,,,,"12 Newton Rd, Amesbury, MA 01913",42.8602005,-70.97273279
1,Barnhardt,Alpha Analytical ,WERO,BWR-WW,Barnhardt,Barnhardt,Barnhardt Manufacturing Company,Plant Manager ,247 Main Road ,"Colrain, MA 01340",Barnhardt Manufacturing Company,Mr.,Keith ,Gammell,,247 Main Road ,"Colrain, MA 01340",,,,,,,"247 Main Road , Colrain, MA 01340",42.65496935,-72.71415614
2,Braintree Water,Eurofins Test America ,NERO,BWR- DW,,,Braintree Water & Sewer Dept. ,Water Works Assistant Superintendent ,300 King Hill Road,"Braintree, MA 02184 ",,,,,,,,,,,,,,"300 King Hill Road, Braintree, MA 02184 ",42.1994131,-71.0298783
3,Bridgewater WWTF,Eurofins Test America ,SERO,BWR-WW,Bridgewater,Town of Bridgewater,Bridgewater Water Pollution Control Facility,,100 Morris Ave,"Bridgewater, MA 02324",,,,,,,,,,,,,,"100 Morris Ave, Bridgewater, MA 02324",41.99245115,-70.96595065
4,"Bristol, RI Compost Facility",Bureau Veritas Canada,Boston,BWR-WW,"Bristol, RI",Agresource Inc.,"Town of Bristol, RI",Water Pollution Control Superintendent,10 Court St.,"Bristol, RI 02809",Agresource,Mr.,Mike  ,Carignan,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,,"10 Court St., Bristol, RI 02809",41.669723,-71.2752431
5,Cascades Tissue Group,Eurofins Test America ,Boston,BWR-WW,"Holderness, NH",RMI,Cascades Tissue Group- Mechanicsville,,510 South Main Street,"Mechanicville, NY ","Resource Management, Inc.",Ms.,April,Sargent,,1171 NH RT 175,"Holderness, NH 03245",,,,,,,"510 South Main Street, Mechanicville, NY ",42.8869399,-73.6864541
6,"Concord, NH WWTF",Alpha Analytical ,Boston,BWR-WW,"Concord, NH",RMI,"City of Concord, NH- Hall Street Wastewater Treatment Facility (WWTF)",Superintendent,125 Hall Street,"Concord, NH 03301","Resource Management, Inc.",Ms.,April,Sargent,,1171 NH RT 175,"Holderness, NH 03245",,,,,,,"125 Hall Street, Concord, NH 03301",43.18354491,-71.52323645
7,Dartmouth WWTF,Enthalpy Analytical,SERO,BWR-WW,Dartmouth,Town of Dartmouth,Dartmouth Water Pollution Control Facility,,759 Russells Mills Road,"Dartmouth, MA 02748",Casella Organics,Ms.,Mary,Waring,Compliance Manager,"755 Banfield Road, Suite 201","Portsmouth, NH 03801",,,,,,,"759 Russells Mills Road, Dartmouth, MA 02748",41.58958075,-70.99286619
8,EarthSource,Alpha Analytical ,SERO,BWR-WW,Raynham,"EarthSource, Inc.","Earth Source, Inc.",President ,1958 Broadway,"Raynham, MA 02767",,,,,,,,,,,,,,"1958 Broadway, Raynham, MA 02767",41.9828817,-71.07319507
10,"Erseco, Inc. (Erving POTW #2)","Eurofins Lancaster Laboratories Environmental, LLC.",WERO,BWR-WW,"Erseco, Inc.","Erseco, Inc.",Erving Board of Selectmen,Chair Board of Selectmen,12 East Main Street,"Erving, MA 01344","Erseco, Inc.",Ms.,Julie ,Hubbard,,97 East Main Street,"Erving, MA 01344",Casella Organics,Mr.,Mark ,Lyons,"755 Banfield Road, Suite 201","Portsmouth, NH 03801","12 East Main Street, Erving, MA 01344",42.59999235,-72.398501
