Facility,Sample Collection Date,Sample Field ID,Sample Laboratory ID #,Lab Name ,Sample    % Solids,Sample PFAS Conc. Units    (ng/g dry wt),PFBS    ,MRL, MDL,Qualifiers,PFBA,MRL,MDL,Qualifiers,PFDS,MRL,MDL,Qualifiers,PFDA,MRL,MDL,Qualifiers,PFDoA,MRL,MDL,Qualifiers,PFHpA,MRL,MDL,Qualifiers,PFHxS,MRL,MDL,Qualifiers,PFHxA,MRL,MDL,Qualifiers,PFNA,MRL,MDL,Qualifiers,PFTrDA,MRL,MDL,Qualifiers,PFOSA,MRL,MDL,Qualifiers,PFOA,MRL,MDL,Qualifiers,PFOS,MRL,MDL,Qualifiers,PFPeA,MRL,MDL,Qualifiers,PFTeDA,MRL,MDL,Qualifiers,PFUnA,MRL,MDL,Qualifiers,4:2FTS,MRL,MDL,Qualifiers,PFPeS,MRL,MDL,Qualifiers,6:2FTS,MRL,MDL,Qualifiers,8:2FTS,MRL,MDL,Qualifiers,PFNS,MRL,MDL,Qualifiers,NMeFOSAA,MRL,MDL,Qualifiers,NEtFOSAA,MRL,MDL,Qualifiers,PFTA,MRL,MDL,Qualifiers,PFHpS,MRL,MDL,Qualifiers,,,,,,,,,,,,,,,,,
Amesbury WTP,9/9/2020, , ,Alpha Analytical,19%,ng/g,<MRL,2.6, , ,<MRL,2.6, , ,<MRL,2.6, , ,<MRL,2.6, , ,<MRL,2.6, , ,<MRL,2.6, , ,<MRL,2.6, , ,<MRL, 2.60, , ,<MRL,2.6, , ,<MRL,2.6, , ,Not Reported, , , ,<MRL,2.6, , ,41,,,F,<MRL,2.6,,,Not Reported,,,,<MRL,2.6,,,Not Reported,,,,<MRL,2.6,,,Not Reported,,,,Not Reported,,,,<MRL,2.6,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Amesbury WTP,12/2/2020,A49324,L2053716-01,Alpha Analytical,18%,ng/g,ND,2.6,,,ND,2.6,,,ND,2.6,,,3.8,0.65,,,ND,2.6,,,ND,0.65,,,ND,0.65,,,ND,2.6,,,7.53,0.65,,,ND,2.6,,,Not Reported,,,,4.81,0.65,,,59.9,0.65,,,ND,2.6,,,,,,,ND,2.6,,,ND,2.6,,,,,,,Not Reported,,,,ND,2.6,,,,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Amesbury WTP,12/2/2020,A49325,L2053716-02,Alpha Analytical,17.8%,ng/g,ND,2.65,,,ND,2.65,,,ND,2.65,,,4.29,0.663,,,ND,2.65,,,ND,0.663,,,ND,0.663,,,ND,2.65,,,8.44,0.663,,,ND,2.65,,,Not Reported,,,,5.43,0.663,,,68.8,0.663,,,ND,2.65,,,,,,,ND,2.65,,,ND,2.65,,,,,,,Not Reported,,,,ND,2.65,,,,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Amesbury WTP,3/3/2021,Primary,,Alpha Analytical,17.0%,ng/g,ND,0.701,,,ND,1.4,,,ND,1.4,,,1.54,0.701,,,ND,1.4,,,ND,0.701,,,ND,0.701,,,ND,1.4,,,2.45,0.701,,,ND,1.4,,,Not Reported,,,,1.83,0.701,,,42.4,0.701,,,ND,1.4,,,Not Reported,,,,ND,1.4,,,Not Reported,,,,ND,2.8,,,Not Reported,,,,Not Reported,,,,ND,2.8,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Amesbury WTP,3/3/2021,Duplicate,,Alpha Analytical,17.0%,ng/g,ND,0.709,,,ND,1.42,,,ND,1.42,,,1.55,0.709,,,ND,1.42,,,ND,0.709,,,ND,0.709,,,ND,1.42,,,2.4,0.709,,,ND,1.42,,,Not Reported,,,,2.06,0.709,,,43.5,0.709,,,ND,1.42,,,Not Reported,,,,ND,1.42,,,Not Reported,,,,ND,2.84,,,Not Reported,,,,Not Reported,,,,ND,2.84,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Amesbury WTP,6/16/2021,A53246,L2133040-01,AAL,20.4,ng/g,ND,0.579,,,ND,1.16,,,ND,1.16,,,1.88,0.579,,,ND,1.16,,,ND,0.579,,,ND,0.579,,,ND,1.16,,,1.79,0.579,,,ND,1.16,,,Not Reported,,,,0.74,0.579,,,40.8,0.579,,,ND,1.16,,,,,,,ND,1.16,,,Not Reported,,,,ND,2.32,,,Not Reported,,,,Not Reported,,,,ND,2.32,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Amesbury WTP,6/16/2021,A53247,L2133040-02,AAL,19.6,ng/g,ND,0.611,,,ND,1.22,,,ND,1.22,,,2.01,0.611,,,ND,1.22,,,ND,0.611,,,ND,0.611,,,ND,1.22,,,1.89,0.611,,,ND,1.22,,,Not Reported,,,,0.782,0.611,,,43.8,0.611,,,ND,1.22,,,,,,,ND,1.22,,,Not Reported,,,,ND,2.44,,,Not Reported,,,,Not Reported,,,,ND,2.44,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,6/2/2020,,,Alpha,,ng/g,ND,3.09,,,ND,3.09,,,NT,,, ,ND,3.09,,,NT,,, ,ND,3.09,,,ND,3.09,,,0.187,3.09,,J,ND,3.09,,,NT,,, ,Not Reported,,,,ND,3.09,,,ND,3.09,,,ND,3.09,,,,,,,NT,,, ,Not Reported,,,,NT,,, ,Not Reported,,,,Not Reported,,,,NT,,, ,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,6/2/2020,,,Alpha,,ng/g,ND,3.2,,,ND,3.2,,,NT,,,,ND,3.2,,,NT,,,,ND,3.2,,,ND,3.2,,,ND,3.2,,,ND,3.2,,,NT,,,,Not Reported,,,,ND,3.2,,,ND,3.2,,,ND,3.2,,,,,,,NT,,,,Not Reported,,,,NT,,,,Not Reported,,,,Not Reported,,,,NT,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Barnhardt,9/3/2020,,,Alpha,15%,ng/g,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,Not Reported,,,,ND,3.29,,,ND,3.29,,,ND,3.29,,,,,,,ND,3.29,,,Not Reported,,,,ND,3.29,,,Not Reported,,,,Not Reported,,,,ND,3.29,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
