,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,NEtFOSAA,0.062,0.734,0.124,0.124,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,NEtFOSAA,0.187,0.764,0.129,0.129,0
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,NEtFOSAA,0.217,0.8,0.135,0.135,0
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,NEtFOSAA,0.481,0.57,0.096,0.096,0
134,134,Resource Management Inc RMF,10/6/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
135,135,Resource Management Inc RMF,10/6/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
136,136,Resource Management Inc RMF,6/30/2021,CPM,NEtFOSAA,0.2455,0.491,,0.491,1
137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
138,138,Rockport WTP,9/14/2020,PRIMARY SAMPLE,NEtFOSAA,0.2455,0.491,,0.491,1
139,139,Rockport WTP,9/14/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
140,140,Rockport WTP,5/13/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
141,141,Rockport WTP,5/13/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
142,142,Rouselott,10/19/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
143,143,Salem & Beverly Water Supply,10/6/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
106,106,Montague WPCF,3/16/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
145,145,Salem Beverly NW Sample,2/12/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
146,146,Salem Beverly NW Sample,5/19/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
147,147,Salem Beverly SE Sample,10/6/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
148,148,Salem Beverly SE Sample,2/12/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
149,149,Salem Beverly SE Sample,5/19/2021,,NEtFOSAA,0.2455,0.491,,0.491,1
150,150,Somerset Water & Sewer Dept,10/27/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
151,151,Somerset Water & Sewer Dept,10/27/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
152,152,Somerset Water & Sewer Dept,1/19/2021,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
153,153,Somerset Water & Sewer Dept,1/19/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
154,154,Somerset Water & Sewer Dept,4/26/2021,Primary ,NEtFOSAA,0.2455,0.491,,0.491,1
133,133,Resource Management Inc,11/16/2020,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
144,144,Salem Beverly NW Sample,10/6/2020,,NEtFOSAA,0.2455,0.491,,0.491,1
132,132,Resource Management Inc,11/16/2020,Primary,NEtFOSAA,0.2455,0.491,,0.491,1
155,155,Somerset Water & Sewer Dept,4/26/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
107,107,Montague WPCF,3/16/2021,Duplicate,NEtFOSAA,0.2455,0.491,,0.491,1
110,110,MWRA,9/14/2020, ,NEtFOSAA,0.2455,0.491,,0.491,1
