,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFBS,0.0139541374415646,0.51,0.02,0.02,1
1,64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFBS,0.0139541374415646,0.2,0.025,0.025,1
2,63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFBS,0.0139541374415646,0.21,0.026,0.026,1
3,71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFBS,0.0139541374415646,0.21,0.03,0.03,1
4,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFBS,0.0139541374415646,0.252,0.039,0.039,1
5,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFBS,0.0139541374415646,0.282,0.044,0.044,1
6,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFBS,0.0139541374415646,0.285,0.045,0.045,1
7,57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFBS,0.0139541374415646,0.44,0.055,0.055,1
8,50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFBS,0.0139541374415646,0.45,0.056,0.056,1
9,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFBS,0.0139541374415646,0.367,0.057,0.057,1
10,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFBS,0.0023976938431232,0.382,0.06,0.06,1
11,56,56,Eresco (Erving),3/23/2021,Duplicate,PFBS,0.0139541374415646,0.46,0.06,0.06,1
12,55,55,Eresco (Erving),3/23/2021,Primary,PFBS,0.0560847090143016,0.45,0.06,0.06,1
13,157,157,Soundview Vermont Holdings,12/9/2020,,PFBS,0.0139541374415646,0.49,0.061,0.061,1
14,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFBS,0.0139541374415646,0.4,0.062,0.062,1
15,58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFBS,0.0046753293444115,0.54,0.067,0.067,1
16,156,156,Soundview Vermont Holdings,12/9/2020,,PFBS,0.0358284409174768,0.54,0.067,0.067,1
17,65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFBS,0.0139541374415646,1.81,0.07,0.07,1
18,137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFBS,0.0139541374415646,0.57,0.071,0.071,1
19,136,136,Resource Management Inc RMF,6/30/2021,CPM,PFBS,0.0139541374415646,0.58,0.072,0.072,1
20,205,205,RMI-RMF,3/31/2021,Duplicate,PFBS,0.0139541374415646,0.61,0.076,0.076,1
21,73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFBS,0.0046753293444115,0.51,0.08,0.08,1
22,74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFBS,0.0358284409174768,0.52,0.08,0.08,1
23,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFBS,0.084,0.349,0.054,0.054,0
24,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFBS,0.0158710162470779,0.59,0.09,0.09,1
25,204,204,RMI-RMF,3/31/2021,Primary,PFBS,0.0158710162470779,0.74,0.092,0.092,1
26,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFBS,0.0051947300335172,0.71,0.11,0.11,1
27,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFBS,0.0419110383397056,0.68,0.11,0.11,1
28,72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFBS,0.12,0.2,0.03,0.03,0
29,116,116,MWRA,3/11/2021,Duplicate,PFBS,0.001208928668755,0.13,,0.13,1
30,115,115,MWRA,3/11/2021,Primary,PFBS,0.005674315070592,0.13,,0.13,1
31,69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFBS,0.0176920509415284,1.0,0.13,0.13,1
