,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFDA,0.11033479469227,0.57,0.063,0.063,1
1,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFDA,0.11033479469227,0.252,0.067,0.067,1
2,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFDA,0.11033479469227,0.282,0.076,0.076,1
3,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFDA,0.11033479469227,0.4,0.107,0.107,1
4,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFDA,0.108,0.382,0.102,0.102,0
5,102,102,Middleborough ,10/30/2020,,PFDA,0.0315987292560193,0.13,,0.13,1
6,101,101,"Merrimack, NH WWTF",6/2/2021,?,PFDA,0.0521466588996195,0.13,,0.13,1
7,48,48,Eresco (Erving),5/19/2020,,PFDA,0.0723213957299245,0.13,,0.13,1
8,47,47,Eresco (Erving),7/31/2019,,PFDA,0.093056974850727,0.13,,0.13,1
9,127,127,Ocean Spray Middleborough ,10/30/2020,,PFDA,0.114769650719898,0.13,,0.13,1
10,130,130,Ocean Spray Middleborough,3/26/2021,,PFDA,0.137732829913705,0.13,,0.13,1
11,146,146,Salem Beverly NW Sample,5/19/2021,,PFDA,0.162171068370692,0.13,,0.13,1
12,149,149,Salem Beverly SE Sample,5/19/2021,,PFDA,0.188295147682662,0.13,,0.13,1
13,169,169,"Southbridge, MA",5/11/2021,,PFDA,0.216319135138902,0.13,,0.13,1
14,103,103,Milorganite,5/28/2020,,PFDA,0.246470860826796,0.13,,0.13,1
15,87,87,Ipswich Compost,4/16/2020,,PFDA,0.278999913773092,0.13,,0.13,1
16,121,121,Newburyport,11/3/2020,,PFDA,0.137732829913705,0.14,,0.14,1
17,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFDA,0.144,0.349,0.094,0.094,0
18,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFDA,0.146,0.285,0.076,0.076,0
19,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFDA,0.15481773977127,0.59,0.16,0.16,1
20,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFDA,0.15481773977127,0.68,0.18,0.18,1
21,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFDA,0.15481773977127,0.71,0.19,0.19,1
