,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFDoA,0.0912839263017426,0.2,0.068,0.068,1
1,71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFDoA,0.0912839263017426,0.21,0.07,0.07,1
2,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFDoA,0.0912839263017426,0.503,0.071,0.071,1
3,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFDoA,0.0912839263017426,0.564,0.079,0.079,1
4,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFDoA,0.0912839263017426,0.734,0.103,0.103,1
5,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFDoA,0.0912839263017426,0.764,0.107,0.107,1
6,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFDoA,0.0912839263017426,0.8,0.112,0.112,1
7,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFDoA,0.116,0.698,0.098,0.098,0
8,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFDoA,0.13,0.57,0.08,0.08,0
9,43,43,Dartmouth WWTF,4/26/2021,Duplicate,PFDoA,0.0794710213046194,0.17,0.256,0.17,1
10,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFDoA,0.159542762093837,1.18,0.17,0.17,1
11,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFDoA,0.116491874422302,1.37,0.19,0.19,1
12,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFDoA,0.116491874422302,1.42,0.2,0.2,1
13,161,161,Southbridge WWTF,4/8/2020,,PFDoA,0.0219304653345656,0.21,,0.21,1
14,130,130,Ocean Spray Middleborough,3/26/2021,,PFDoA,0.0335246035006605,0.21,,0.21,1
15,146,146,Salem Beverly NW Sample,5/19/2021,,PFDoA,0.0441806732801173,0.21,,0.21,1
16,127,127,Ocean Spray Middleborough ,10/30/2020,,PFDoA,0.0546144286819952,0.21,,0.21,1
17,47,47,Eresco (Erving),7/31/2019,,PFDoA,0.0651108878338673,0.21,,0.21,1
18,48,48,Eresco (Erving),5/19/2020,,PFDoA,0.075829257208714,0.21,,0.21,1
19,124,124,North Chelmsford Water District,11/9/2020,,PFDoA,0.0868785968046022,0.21,,0.21,1
20,7,7,Barnhardt,6/2/2020,,PFDoA,0.0983451728528922,0.21,,0.21,1
21,149,149,Salem Beverly SE Sample,5/19/2021,,PFDoA,0.110304749977144,0.21,,0.21,1
22,87,87,Ipswich Compost,4/16/2020,,PFDoA,0.122829077086752,0.21,,0.21,1
23,169,169,"Southbridge, MA",5/11/2021,,PFDoA,0.135989828170931,0.21,,0.21,1
24,39,39,"Concord, NH WWTF",6/1/2021,,PFDoA,0.149861350285431,0.21,,0.21,1
25,95,95,Ipswich Compost,6/4/2021,Ipswich Compost,PFDoA,0.164522857555691,0.21,,0.21,1
