,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFHpA,0.0115962343177791,0.252,0.045,0.045,1
1,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFHpA,0.0115962343177791,0.282,0.051,0.051,1
2,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFHpA,0.058,0.285,0.051,0.051,0
3,64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFHpA,0.064,0.2,0.029,0.029,0
4,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFHpA,0.0248985223749268,0.367,0.066,0.066,1
5,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFHpA,0.0248985223749268,0.382,0.069,0.069,1
6,55,55,Eresco (Erving),3/23/2021,Primary,PFHpA,0.0156303648318791,0.45,0.07,0.07,1
7,56,56,Eresco (Erving),3/23/2021,Duplicate,PFHpA,0.0361438735591012,0.46,0.07,0.07,1
8,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFHpA,0.0248985223749268,0.4,0.072,0.072,1
9,66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFHpA,0.08,0.13,0.02,0.02,0
10,65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFHpA,0.08,0.13,0.02,0.02,0
11,137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFHpA,0.0321461541068908,0.57,0.083,0.083,1
12,136,136,Resource Management Inc RMF,6/30/2021,CPM,PFHpA,0.0321461541068908,0.58,0.084,0.084,1
13,73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFHpA,0.0195346865111152,0.51,0.09,0.09,1
14,74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFHpA,0.0482149565844133,0.52,0.09,0.09,1
15,71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFHpA,0.09,0.21,0.03,0.03,0
16,72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFHpA,0.1,0.2,0.03,0.03,0
17,58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFHpA,0.1,0.54,0.078,0.078,0
18,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFHpA,0.0413073254228139,0.59,0.11,0.11,1
19,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFHpA,0.0413073254228139,0.68,0.12,0.12,1
20,57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFHpA,0.12,0.44,0.064,0.064,0
21,116,116,MWRA,3/11/2021,Duplicate,PFHpA,0.0183194606994166,0.13,,0.13,1
22,115,115,MWRA,3/11/2021,Primary,PFHpA,0.0443305324864466,0.13,,0.13,1
23,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFHpA,0.0861237911224536,0.71,0.13,0.13,1
24,121,121,Newburyport,11/3/2020,,PFHpA,0.0443305324864466,0.14,,0.14,1
25,70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFHpA,0.0183194606994166,1.0,0.15,0.15,1
26,69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFHpA,0.0443305324864466,1.0,0.15,0.15,1
27,175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFHpA,0.0861237911224536,0.84,0.15,0.15,1
28,62,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,PFHpA,0.16,0.42,0.061,0.061,0
29,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFHpA,0.165,0.349,0.063,0.063,0
30,184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFHpA,0.0491281266801781,1.02,0.18,0.18,1
31,63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFHpA,0.19,0.21,0.03,0.03,0
32,124,124,North Chelmsford Water District,11/9/2020,,PFHpA,0.0515693197906609,0.21,,0.21,1
33,49,49,Eresco (Erving),9/22/2020,Primary,PFHpA,0.22,0.47,0.07,0.07,0
34,67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFHpA,0.0540150965010114,1.24,0.224,0.224,1
35,68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFHpA,0.0540150965010114,1.27,0.228,0.228,1
36,169,169,"Southbridge, MA",5/11/2021,,PFHpA,0.010196410972975,0.23,,0.23,1
37,130,130,Ocean Spray Middleborough,3/26/2021,,PFHpA,0.0212847154895988,0.23,,0.23,1
38,127,127,Ocean Spray Middleborough ,10/30/2020,,PFHpA,0.23,,,,0
39,39,39,"Concord, NH WWTF",6/1/2021,,PFHpA,0.0355073491373251,0.23,,0.23,1
40,102,102,Middleborough ,10/30/2020,,PFHpA,0.23,,,,0
41,141,141,Rockport WTP,5/13/2021,Duplicate,PFHpA,0.0540150965010114,0.23,,0.23,1
42,101,101,"Merrimack, NH WWTF",6/2/2021,?,PFHpA,0.078391837520147,0.23,,0.23,1
43,146,146,Salem Beverly NW Sample,5/19/2021,,PFHpA,0.111014239705162,0.23,,0.23,1
44,149,149,Salem Beverly SE Sample,5/19/2021,,PFHpA,0.155645194080878,0.23,,0.23,1
45,140,140,Rockport WTP,5/13/2021,Primary,PFHpA,0.0580480988627735,0.24,,0.24,1
