,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFHxA,0.0919986437018484,0.503,0.053,0.053,1
1,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFHxA,0.0919986437018484,0.564,0.059,0.059,1
2,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFHxA,0.0919986437018484,0.57,0.06,0.06,1
3,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFHxA,0.0919986437018484,0.734,0.077,0.077,1
4,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFHxA,0.0919986437018484,0.764,0.08,0.08,1
5,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFHxA,0.0919986437018484,0.8,0.084,0.084,1
6,55,55,Eresco (Erving),3/23/2021,Primary,PFHxA,0.0919986437018484,0.45,0.094,0.094,1
7,56,56,Eresco (Erving),3/23/2021,Duplicate,PFHxA,0.0919986437018484,0.46,0.097,0.097,1
8,137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFHxA,0.0477435300935443,0.57,0.12,0.12,1
9,136,136,Resource Management Inc RMF,6/30/2021,CPM,PFHxA,0.156027297700212,0.58,0.12,0.12,1
10,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFHxA,0.0919986437018484,1.18,0.124,0.124,1
11,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFHxA,0.0919986437018484,1.37,0.144,0.144,1
12,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFHxA,0.0919986437018484,1.42,0.149,0.149,1
13,175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFHxA,0.0919986437018484,1.67,0.176,0.176,1
14,7,7,Barnhardt,6/2/2020,,PFHxA,0.187,3.09,,3.09,0
15,142,142,Rouselott,10/19/2020,,PFHxA,0.0139365533089879,0.21,,0.21,1
16,124,124,North Chelmsford Water District,11/9/2020,,PFHxA,0.0346235439782213,0.21,,0.21,1
17,146,146,Salem Beverly NW Sample,5/19/2021,,PFHxA,0.0638879099961493,0.21,,0.21,1
18,149,149,Salem Beverly SE Sample,5/19/2021,,PFHxA,0.10384778331481,0.21,,0.21,1
19,101,101,"Merrimack, NH WWTF",6/2/2021,?,PFHxA,0.157390441358822,0.21,,0.21,1
20,39,39,"Concord, NH WWTF",6/1/2021,,PFHxA,0.2284214619912,0.21,,0.21,1
21,0,0,Amesbury WTP,9/9/2020, ,PFHxA,0.322262146983659,0.21,,0.21,1
22,184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFHxA,0.10384778331481,2.04,0.214,0.214,1
23,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFHxA,0.285,0.698,0.073,0.073,0
24,176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFHxA,0.112088908544387,3.16,0.332,0.332,1
25,58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFHxA,0.36,0.54,0.11,0.11,0
26,125,125,North Chelmsford Water District,3/10/2021,Primary,PFHxA,0.0603189554579875,2.2,0.45,0.45,1
27,57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFHxA,0.45,0.44,0.092,0.092,0
28,54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFHxA,0.211649545177032,1.4,0.45,0.45,1
29,141,141,Rockport WTP,5/13/2021,Duplicate,PFHxA,0.128486146880812,0.451,,0.451,1
