,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFNA,0.0923903563481732,0.252,0.076,0.076,1
1,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFNA,0.0923903563481732,0.282,0.085,0.085,1
2,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFNA,0.0923903563481732,0.367,0.11,0.11,1
3,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFNA,0.0923903563481732,0.382,0.114,0.114,1
4,121,121,Newburyport,11/3/2020,,PFNA,0.0923903563481732,0.135,,0.135,1
5,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFNA,0.14,0.4,0.12,0.12,0
6,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFNA,0.145,0.285,0.086,0.086,0
7,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFNA,0.165,0.349,0.105,0.105,0
8,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFNA,0.123879423347677,0.592,0.177,0.177,1
9,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFNA,0.123879423347677,0.684,0.205,0.205,1
10,149,149,Salem Beverly SE Sample,5/19/2021,,PFNA,0.0653245438177469,0.21,,0.21,1
11,124,124,North Chelmsford Water District,11/9/2020,,PFNA,0.0959963807013142,0.21,,0.21,1
12,39,39,"Concord, NH WWTF",6/1/2021,,PFNA,0.123879423347677,0.21,,0.21,1
13,146,146,Salem Beverly NW Sample,5/19/2021,,PFNA,0.151178345762207,0.21,,0.21,1
14,101,101,"Merrimack, NH WWTF",6/2/2021,?,PFNA,0.178802127649598,0.21,,0.21,1
15,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFNA,0.123879423347677,0.709,0.213,0.213,1
16,175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFNA,0.123879423347677,0.836,0.251,0.251,1
17,74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFNA,0.28,0.52,0.16,0.16,0
18,173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFNA,0.29,0.25,0.045,0.045,0
19,174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFNA,0.29,0.26,0.046,0.046,0
20,140,140,Rockport WTP,5/13/2021,Primary,PFNA,0.29,0.242,,0.242,0
21,73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFNA,0.3,0.51,0.15,0.15,0
22,141,141,Rockport WTP,5/13/2021,Duplicate,PFNA,0.3,0.226,,0.226,0
23,184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFNA,0.152787931065702,1.02,0.306,0.306,1
24,66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFNA,0.31,0.13,0.04,0.04,0
25,70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFNA,0.31,1.0,0.18,0.18,0
26,43,43,Dartmouth WWTF,4/26/2021,Duplicate,PFNA,0.33,0.0552,0.0554,0.0552,0
27,59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFNA,0.344,0.261,,0.261,0
28,69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFNA,0.35,1.0,0.19,0.19,0
29,91,91,Ipswich Compost,3/22/2021,Primary,PFNA,0.352,0.231,,0.231,0
30,93,93,Ipswich Compost,3/22/2021,Primary,PFNA,0.352,0.231,,0.231,0
31,65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFNA,0.36,0.45,0.14,0.14,0
32,120,120,City of Newburyport WTP,5/5/2021,A52309,PFNA,0.190404185500979,0.361,,0.361,1
33,60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFNA,0.371,0.268,,0.268,0
34,67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFNA,0.195073120997832,1.24,0.372,0.372,1
35,68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFNA,0.195073120997832,1.27,0.38,0.38,1
36,119,119,City of Newburyport WTP,5/5/2021,A52308,PFNA,0.195073120997832,0.385,,0.385,1
37,151,151,Somerset Water & Sewer Dept,10/27/2020,Duplicate,PFNA,0.118056833970615,2.2,0.39,0.39,1
38,134,134,Resource Management Inc RMF,10/6/2020,Primary,PFNA,0.195073120997832,2.2,0.39,0.39,1
39,125,125,North Chelmsford Water District,3/10/2021,Primary,PFNA,0.280405290745242,2.2,0.39,0.39,1
40,198,198,Rousselot Peabody,5/12/2021,A52429,PFNA,0.195073120997832,0.392,,0.392,1
41,170,170,"Waste Options Nantucket, LLC",10/28/2020,,PFNA,0.4,,,,0
42,172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,PFNA,0.4,0.31,0.056,0.056,0
43,199,199,Rousselot Peabody,5/12/2021,A52432,PFNA,0.406,0.394,,0.394,0
44,150,150,Somerset Water & Sewer Dept,10/27/2020,Primary,PFNA,0.206823134874205,2.3,0.41,0.41,1
45,137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFNA,0.42,0.57,0.1,0.1,0
46,205,205,RMI-RMF,3/31/2021,Duplicate,PFNA,0.44,0.61,0.11,0.11,0
47,135,135,Resource Management Inc RMF,10/6/2020,Duplicate,PFNA,0.214595445387047,2.5,0.45,0.45,1
48,71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFNA,0.45,0.21,0.04,0.04,0
49,171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,PFNA,0.46,0.29,0.053,0.053,0
50,42,42,Dartmouth WWTF,4/26/2021,Primary,PFNA,0.462,0.063,0.63,0.063,0
51,51,51,Eresco (Erving),9/22/2020,Primary,PFNA,0.162893764314379,1.4,0.47,0.47,1
52,72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFNA,0.47,0.2,0.04,0.04,0
53,126,126,North Chelmsford Water District,3/10/2021,Duplicate,PFNA,0.296906746247282,2.6,0.47,0.47,1
54,176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFNA,0.229956789169615,1.58,0.475,0.475,1
55,94,94,Ipswich Compost,3/22/2021,Duplicate,PFNA,0.481,0.243,,0.243,0
56,92,92,Ipswich Compost,3/22/2021,Duplicate,PFNA,0.481,0.243,,0.243,0
57,136,136,Resource Management Inc RMF,6/30/2021,CPM,PFNA,0.49,0.58,0.1,0.1,0
58,114,114,MWRA,12/22/2020,Duplicate,PFNA,0.495,0.458,,0.458,0
59,122,122,Newburyport,8/4/2021,A54268,PFNA,0.244995476820461,0.505,,0.505,1
60,37,37,"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,PFNA,0.244995476820461,0.512,,0.512,1
61,113,113,MWRA,12/22/2020,Primary,PFNA,0.52,0.503,,0.503,0
62,103,103,Milorganite,5/28/2020,,PFNA,0.52,,,,0
63,38,38,"Concord, NH WWTF",3/19/2021,,PFNA,0.252416982116535,0.528,,0.528,1
64,206,206,Taunton Water Treatment Facility,4/30/2021,Lagoon 2A/2B/2C Composite,PFNA,0.252416982116535,0.53,,0.53,1
65,193,193,Rousselot,3/11/2021,A51157,PFNA,0.252416982116535,0.537,,0.537,1
66,115,115,MWRA,3/11/2021,Primary,PFNA,0.538,0.13,,0.13,0
67,30,30,"Bristol RI, WPCF",2/10/2021,,PFNA,0.18084059258491,2.0,0.54,0.54,1
68,29,29,"Bristol RI, WPCF",10/14/2020,,PFNA,0.343229542991176,0.54,,0.54,1
69,191,191,Rousselot,3/11/2021,A51149,PFNA,0.552,0.458,,0.458,0
70,95,95,Ipswich Compost,6/4/2021,Ipswich Compost,PFNA,0.567,,,,0
71,194,194,Rousselot,3/11/2021,A51158,PFNA,0.26301373637096,0.571,,0.571,1
72,63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFNA,0.58,0.21,0.037,0.037,0
73,64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFNA,0.59,0.2,0.036,0.036,0
74,107,107,Montague WPCF,3/16/2021,Duplicate,PFNA,0.270027615175518,3.3,0.6,0.6,1
75,58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFNA,0.61,0.54,0.097,0.097,0
76,57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFNA,0.61,0.44,0.079,0.079,0
77,116,116,MWRA,3/11/2021,Duplicate,PFNA,0.614,0.128,,0.128,0
78,123,123,Newburyport,8/4/2021,A54269,PFNA,0.280585585166838,0.635,,0.635,1
79,61,61,Greater Lawrence Sanitary District,9/29/2020,,PFNA,0.280585585166838,0.637,,0.637,1
80,106,106,Montague WPCF,3/16/2021,Primary,PFNA,0.280585585166838,3.5,0.64,0.64,1
81,49,49,Eresco (Erving),9/22/2020,Primary,PFNA,0.64,0.47,0.084,0.084,0
82,48,48,Eresco (Erving),5/19/2020,,PFNA,0.64,,,,0
83,23,23,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,PFNA,0.287480292992156,3.6,0.65,0.65,1
84,27,27,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,PFNA,0.67,0.4,0.073,0.073,0
85,24,24,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,PFNA,0.67,3.5,0.63,0.63,0
86,201,201,Rousselot Peabody,5/12/2021,A52441,PFNA,0.287480292992156,0.67,,0.67,1
87,109,109,MWRA,3/11/2020,,PFNA,0.7,,,,0
88,200,200,Rousselot Peabody,5/12/2021,A52440,PFNA,0.297752072602077,0.706,,0.706,1
89,28,28,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,PFNA,0.71,0.49,0.087,0.087,0
90,40,40,Dartmouth WWTF,10/27/2020,Primary,PFNA,0.733,0.509,0.0513,0.0513,0
91,192,192,Rousselot,3/11/2021,A51151,PFNA,0.735,0.474,,0.474,0
92,54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFNA,0.74,1.4,0.45,0.45,0
93,50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFNA,0.78,0.45,0.081,0.081,0
94,179,179,Weymouth Water Dpt,2/8/2021,Lagoon A Primary,PFNA,0.315155059580527,3.0,0.805,0.805,1
95,14,14,Barnhardt,3/23/2021,Duplicate,PFNA,0.315155059580527,0.81,,0.81,1
96,13,13,Barnhardt,3/23/2021,Primary,PFNA,0.315155059580527,0.815,,0.815,1
97,130,130,Ocean Spray Middleborough,3/26/2021,,PFNA,0.315155059580527,0.83,,0.83,1
98,102,102,Middleborough ,10/30/2020,,PFNA,0.83,,,,0
99,204,204,RMI-RMF,3/31/2021,Primary,PFNA,0.83,0.74,0.13,0.13,0
100,127,127,Ocean Spray Middleborough ,10/30/2020,,PFNA,0.83,,,,0
101,112,112,MWRA,9/14/2020,Duplicate,PFNA,0.84,0.5,,0.5,0
102,110,110,MWRA,9/14/2020, ,PFNA,0.849,,,,0
103,77,77,Hawk Ridge Compost Facility,5/2/2021,HRCF051221,PFNA,0.332445887626539,4.7,0.85,0.85,1
104,111,111,MWRA,9/14/2020,Primary,PFNA,0.85,0.51,,0.51,0
105,55,55,Eresco (Erving),3/23/2021,Primary,PFNA,0.87,0.45,0.081,0.081,0
106,108,108,MWRA,3/25/2019,,PFNA,0.33946852528614,0.893,,0.893,1
107,56,56,Eresco (Erving),3/23/2021,Duplicate,PFNA,0.9,0.46,0.083,0.083,0
108,162,162,Southbridge WWTF,9/25/2020,,PFNA,0.909,,,,0
109,105,105,Montague WPCF,10/26/2020,1 DUPLICATE,PFNA,0.346526896395075,5.1,0.91,0.91,1
110,41,41,Dartmouth WWTF,10/27/2020,Duplicate,PFNA,0.919,0.499,0.0502,0.0502,0
111,32,32,Cascades Paper Mill,12/11/2020,Duplicate,PFNA,0.350062355299456,5.2,0.94,0.94,1
112,33,33,Cascades Paper Mill,3/1/2021,Primary,PFNA,0.350062355299456,5.3,0.96,0.96,1
113,76,76,Hawk Ridge Compost,10/23/2020,Compost 2,PFNA,0.350062355299456,5.4,0.97,0.97,1
114,180,180,Weymouth Water Dpt,2/8/2021,Lagoon A Duplicate,PFNA,0.350062355299456,3.25,0.974,0.974,1
115,34,34,Cascades Paper Mill,3/1/2021,Duplicate,PFNA,0.18337429850372,5.7,1.0,1.0,1
116,53,53,Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,PFNA,1.0,4.7,0.85,0.85,0
117,78,78,Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,PFNA,0.350062355299456,5.8,1.0,1.0,1
118,104,104,Montague WPCF,10/26/2020,1,PFNA,0.601767387219968,5.6,1.0,1.0,1
119,35,35,"Concord, NH WWTF",3/11/2020,,PFNA,0.353411757440836,1.04,,1.04,1
120,16,16,Barnhardt,6/8/2021,Duplicate,PFNA,0.353411757440836,1.07,,1.07,1
121,31,31,Cascades Paper Mill,12/11/2020,Primary,PFNA,0.184606108312251,6.1,1.1,1.1,1
122,25,25,Bridgewater Sewer,1/27/2021,Primary,PFNA,0.353411757440836,5.9,1.1,1.1,1
123,62,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,PFNA,1.1,0.42,0.076,0.076,0
124,118,118,Nashua WWTF,2/26/2021,Duplicate,PFNA,0.610124875530121,6.2,1.1,1.1,1
125,52,52,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFNA,1.1,4.5,0.81,0.81,0
126,11,11,Barnhardt,10/14/2020,,PFNA,0.359905994313496,1.15,,1.15,1
127,12,12,Barnhardt,10/14/2020,,PFNA,0.359905994313496,1.16,,1.16,1
128,15,15,Barnhardt,6/8/2021,Primary,PFNA,1.18,1.06,,1.06,0
129,117,117,Nashua WWTF,2/26/2021,Primary,PFNA,0.240422019074448,6.7,1.2,1.2,1
130,26,26,Bridgewater Sewer,1/27/2021,Duplicate,PFNA,0.52714753198553,6.4,1.2,1.2,1
131,87,87,Ipswich Compost,4/16/2020,,PFNA,1.23,,,,0
132,168,168,"Southbridge, MA",5/11/2021,,PFNA,1.24,7.6,,7.6,0
133,139,139,Rockport WTP,9/14/2020,Duplicate,PFNA,0.369556924039356,1.37,,1.37,1
