,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,121,121,Newburyport,11/3/2020,,PFOS,0.174,,,,0
1,157,157,Soundview Vermont Holdings,12/9/2020,,PFOS,0.424251787769625,1.2,0.49,0.49,1
2,105,105,Montague WPCF,10/26/2020,1 DUPLICATE,PFOS,0.234280284300583,0.51,,0.51,1
3,104,104,Montague WPCF,10/26/2020,1,PFOS,0.363616624990822,0.51,,0.51,1
4,101,101,"Merrimack, NH WWTF",6/2/2021,?,PFOS,0.48393395594691,0.51,,0.51,1
5,49,49,Eresco (Erving),9/22/2020,Primary,PFOS,0.602746680958261,0.51,,0.51,1
6,206,206,Taunton Water Treatment Facility,4/30/2021,Lagoon 2A/2B/2C Composite,PFOS,0.322175101620826,0.53,,0.53,1
7,124,124,North Chelmsford Water District,11/9/2020,,PFOS,0.52351330042834,0.53,,0.53,1
8,156,156,Soundview Vermont Holdings,12/9/2020,,PFOS,0.322175101620826,1.3,0.54,0.54,1
9,30,30,"Bristol RI, WPCF",2/10/2021,,PFOS,0.52351330042834,2.0,0.54,0.54,1
10,137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFOS,0.424251787769625,1.4,0.57,0.57,1
11,136,136,Resource Management Inc RMF,6/30/2021,CPM,PFOS,0.424251787769625,1.4,0.58,0.58,1
12,119,119,City of Newburyport WTP,5/5/2021,A52308,PFOS,0.644,0.385,,0.385,0
13,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFOS,0.68,0.382,0.198,0.198,0
14,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFOS,0.69,0.367,0.191,0.191,0
15,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFOS,0.707,0.4,0.208,0.208,0
16,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFOS,0.757,0.709,0.368,0.368,0
17,120,120,City of Newburyport WTP,5/5/2021,A52309,PFOS,0.762,0.361,,0.361,0
18,14,14,Barnhardt,3/23/2021,Duplicate,PFOS,0.572986587259224,0.81,,0.81,1
19,13,13,Barnhardt,3/23/2021,Primary,PFOS,0.572986587259224,0.815,,0.815,1
20,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFOS,0.841,0.285,0.148,0.148,0
21,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFOS,0.854,0.592,0.308,0.308,0
22,122,122,Newburyport,8/4/2021,A54268,PFOS,0.866,0.505,,0.505,0
23,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFOS,0.912,0.349,0.181,0.181,0
24,175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFOS,0.989,0.836,0.435,0.435,0
25,70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFOS,0.498784896483582,2.5,1.0,1.0,1
26,69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFOS,0.878217272228268,2.6,1.0,1.0,1
