,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFTrDA,0.025,0.21,0.05,0.05,1
72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFTrDA,0.025,0.2,0.05,0.05,1
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFTrDA,0.026,0.2,0.052,0.052,1
63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFTrDA,0.026,0.21,0.052,0.052,1
27,27,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,PFTrDA,0.05,0.4,0.1,0.1,1
62,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,PFTrDA,0.055,0.42,0.11,0.11,1
50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFTrDA,0.055,0.45,0.11,0.11,1
28,28,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,PFTrDA,0.06,0.49,0.12,0.12,1
205,205,RMI-RMF,3/31/2021,Duplicate,PFTrDA,0.08,0.61,0.16,0.16,1
41,41,Dartmouth WWTF,10/27/2020,Duplicate,PFTrDA,0.087,0.499,0.174,0.174,1
40,40,Dartmouth WWTF,10/27/2020,Primary,PFTrDA,0.0885,0.509,0.177,0.177,1
204,204,RMI-RMF,3/31/2021,Primary,PFTrDA,0.095,0.74,0.19,0.19,1
43,43,Dartmouth WWTF,4/26/2021,Duplicate,PFTrDA,0.0955,0.191,0.548,0.191,1
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFTrDA,0.103,0.503,0.206,0.206,1
124,124,North Chelmsford Water District,11/9/2020,,PFTrDA,0.105,0.21,,0.21,1
42,42,Dartmouth WWTF,4/26/2021,Primary,PFTrDA,0.1095,0.219,0.628,0.219,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFTrDA,0.1155,0.564,0.231,0.231,1
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFTrDA,0.1165,0.57,0.233,0.233,1
70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFTrDA,0.13,1.0,0.26,0.26,1
69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFTrDA,0.13,1.0,0.26,0.26,1
