,level_0,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
0,66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFUnA,0.0843384459727104,0.51,0.02,0.02,1
1,65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFUnA,0.142803069381947,0.52,0.02,0.02,1
2,64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFUnA,0.112852665404751,0.2,0.036,0.036,1
3,173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFUnA,0.112852665404751,0.25,0.045,0.045,1
4,174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFUnA,0.112852665404751,0.26,0.046,0.046,1
5,45,45,"EarthSource, Inc.",1/22/2021,Primary,PFUnA,0.112852665404751,0.503,0.047,0.047,1
6,46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFUnA,0.112852665404751,0.564,0.053,0.053,1
7,178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFUnA,0.112852665404751,1.18,0.111,0.111,1
8,41,41,Dartmouth WWTF,10/27/2020,Duplicate,PFUnA,0.112852665404751,0.499,0.113,0.113,1
9,40,40,Dartmouth WWTF,10/27/2020,Primary,PFUnA,0.112852665404751,0.509,0.115,0.115,1
10,183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFUnA,0.112852665404751,1.37,0.128,0.128,1
11,177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFUnA,0.112852665404751,1.42,0.133,0.133,1
12,175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFUnA,0.112852665404751,1.67,0.156,0.156,1
13,209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFUnA,0.173,0.764,0.072,0.072,0
14,207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFUnA,0.175,0.57,0.053,0.053,0
15,210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFUnA,0.181,0.734,0.069,0.069,0
16,211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFUnA,0.182,0.8,0.075,0.075,0
17,208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFUnA,0.184,0.698,0.065,0.065,0
18,184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFUnA,0.147618679876962,2.04,0.191,0.191,1
19,147,147,Salem Beverly SE Sample,10/6/2020,,PFUnA,0.0335228825993555,0.21,,0.21,1
20,48,48,Eresco (Erving),5/19/2020,,PFUnA,0.0473295071096074,0.21,,0.21,1
21,47,47,Eresco (Erving),7/31/2019,,PFUnA,0.0592291766466396,0.21,,0.21,1
22,7,7,Barnhardt,6/2/2020,,PFUnA,0.0703633958445469,0.21,,0.21,1
23,149,149,Salem Beverly SE Sample,5/19/2021,,PFUnA,0.0811655957418804,0.21,,0.21,1
24,8,8,Barnhardt,6/2/2020,,PFUnA,0.091861859404972,0.21,,0.21,1
