,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFBS,0.02,0.51,0.02,0.02,1
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFBS,0.025,0.2,0.025,0.025,1
63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFBS,0.026,0.21,0.026,0.026,1
71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFBS,0.03,0.21,0.03,0.03,1
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFBS,0.039,0.252,0.039,0.039,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFBS,0.044,0.282,0.044,0.044,1
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFBS,0.045,0.285,0.045,0.045,1
57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFBS,0.055,0.44,0.055,0.055,1
50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFBS,0.056,0.45,0.056,0.056,1
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFBS,0.057,0.367,0.057,0.057,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFBS,0.06,0.382,0.06,0.06,1
56,56,Eresco (Erving),3/23/2021,Duplicate,PFBS,0.06,0.46,0.06,0.06,1
55,55,Eresco (Erving),3/23/2021,Primary,PFBS,0.06,0.45,0.06,0.06,1
157,157,Soundview Vermont Holdings,12/9/2020,,PFBS,0.061,0.49,0.061,0.061,1
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFBS,0.062,0.4,0.062,0.062,1
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFBS,0.067,0.54,0.067,0.067,1
156,156,Soundview Vermont Holdings,12/9/2020,,PFBS,0.067,0.54,0.067,0.067,1
65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFBS,0.07,1.81,0.07,0.07,1
137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFBS,0.071,0.57,0.071,0.071,1
136,136,Resource Management Inc RMF,6/30/2021,CPM,PFBS,0.072,0.58,0.072,0.072,1
205,205,RMI-RMF,3/31/2021,Duplicate,PFBS,0.076,0.61,0.076,0.076,1
73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFBS,0.08,0.51,0.08,0.08,1
74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFBS,0.08,0.52,0.08,0.08,1
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFBS,0.084,0.349,0.054,0.054,0
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFBS,0.09,0.59,0.09,0.09,1
204,204,RMI-RMF,3/31/2021,Primary,PFBS,0.092,0.74,0.092,0.092,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFBS,0.11,0.71,0.11,0.11,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFBS,0.11,0.68,0.11,0.11,1
72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFBS,0.12,0.2,0.03,0.03,0
116,116,MWRA,3/11/2021,Duplicate,PFBS,0.13,0.13,,0.13,1
115,115,MWRA,3/11/2021,Primary,PFBS,0.13,0.13,,0.13,1
69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFBS,0.13,1.0,0.13,0.13,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFBS,0.13,0.84,0.13,0.13,1
70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFBS,0.13,1.0,0.13,0.13,1
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFBS,0.16,1.02,0.16,0.16,1
42,42,Dartmouth WWTF,4/26/2021,Primary,PFBS,0.185,0.185,0.57,0.185,1
67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFBS,0.194,1.24,0.194,0.194,1
68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFBS,0.198,1.27,0.198,0.198,1
124,124,North Chelmsford Water District,11/9/2020,,PFBS,0.21,0.21,,0.21,1
141,141,Rockport WTP,5/13/2021,Duplicate,PFBS,0.23,0.23,,0.23,1
140,140,Rockport WTP,5/13/2021,Primary,PFBS,0.24,0.24,,0.24,1
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFBS,0.25,1.58,0.25,0.25,1
103,103,Milorganite,5/28/2020,,PFBS,0.26,0.26,,0.26,1
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFBS,0.261,0.261,,0.261,1
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFBS,0.268,0.268,,0.268,1
125,125,North Chelmsford Water District,3/10/2021,Primary,PFBS,0.27,2.2,0.27,0.27,1
134,134,Resource Management Inc RMF,10/6/2020,Primary,PFBS,0.27,2.2,0.27,0.27,1
135,135,Resource Management Inc RMF,10/6/2020,Duplicate,PFBS,0.31,2.5,0.31,0.31,1
172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,PFBS,0.32,0.31,0.04,0.04,0
161,161,Southbridge WWTF,4/8/2020,,PFBS,0.323,0.323,,0.323,1
126,126,North Chelmsford Water District,3/10/2021,Duplicate,PFBS,0.33,2.6,0.33,0.33,1
171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,PFBS,0.33,0.29,0.04,0.04,0
160,160,Soundview Vermont Holdings,5/14/2021,,PFBS,0.334,0.334,,0.334,1
30,30,"Bristol RI, WPCF",2/10/2021,,PFBS,0.34,2.0,0.34,0.34,1
120,120,City of Newburyport WTP,5/5/2021,A52309,PFBS,0.361,0.361,,0.361,1
