,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFDoA,0.068,0.2,0.068,0.068,1
71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFDoA,0.07,0.21,0.07,0.07,1
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFDoA,0.071,0.503,0.071,0.071,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFDoA,0.079,0.564,0.079,0.079,1
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFDoA,0.103,0.734,0.103,0.103,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFDoA,0.107,0.764,0.107,0.107,1
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFDoA,0.112,0.8,0.112,0.112,1
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFDoA,0.116,0.698,0.098,0.098,0
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFDoA,0.13,0.57,0.08,0.08,0
43,43,Dartmouth WWTF,4/26/2021,Duplicate,PFDoA,0.17,0.17,0.256,0.17,1
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFDoA,0.17,1.18,0.17,0.17,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFDoA,0.19,1.37,0.19,0.19,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFDoA,0.2,1.42,0.2,0.2,1
161,161,Southbridge WWTF,4/8/2020,,PFDoA,0.21,0.21,,0.21,1
130,130,Ocean Spray Middleborough,3/26/2021,,PFDoA,0.21,0.21,,0.21,1
146,146,Salem Beverly NW Sample,5/19/2021,,PFDoA,0.21,0.21,,0.21,1
127,127,Ocean Spray Middleborough ,10/30/2020,,PFDoA,0.21,0.21,,0.21,1
47,47,Eresco (Erving),7/31/2019,,PFDoA,0.21,0.21,,0.21,1
48,48,Eresco (Erving),5/19/2020,,PFDoA,0.21,0.21,,0.21,1
124,124,North Chelmsford Water District,11/9/2020,,PFDoA,0.21,0.21,,0.21,1
7,7,Barnhardt,6/2/2020,,PFDoA,0.21,0.21,,0.21,1
149,149,Salem Beverly SE Sample,5/19/2021,,PFDoA,0.21,0.21,,0.21,1
87,87,Ipswich Compost,4/16/2020,,PFDoA,0.21,0.21,,0.21,1
169,169,"Southbridge, MA",5/11/2021,,PFDoA,0.21,0.21,,0.21,1
39,39,"Concord, NH WWTF",6/1/2021,,PFDoA,0.21,0.21,,0.21,1
95,95,Ipswich Compost,6/4/2021,Ipswich Compost,PFDoA,0.21,0.21,,0.21,1
101,101,"Merrimack, NH WWTF",6/2/2021,?,PFDoA,0.21,0.21,,0.21,1
102,102,Middleborough ,10/30/2020,,PFDoA,0.21,0.21,,0.21,1
103,103,Milorganite,5/28/2020,,PFDoA,0.21,0.21,,0.21,1
8,8,Barnhardt,6/2/2020,,PFDoA,0.21,0.21,,0.21,1
109,109,MWRA,3/11/2020,,PFDoA,0.21,0.21,,0.21,1
174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFDoA,0.23,0.26,0.086,0.086,0
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFDoA,0.23,1.67,0.23,0.23,1
173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFDoA,0.26,0.25,0.085,0.085,0
172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,PFDoA,0.28,0.31,0.1,0.1,0
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFDoA,0.29,2.04,0.29,0.29,1
67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFDoA,0.347,2.48,0.347,0.347,1
68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFDoA,0.355,2.53,0.355,0.355,1
30,30,"Bristol RI, WPCF",2/10/2021,,PFDoA,0.38,2.0,0.38,0.38,1
73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFDoA,0.4,1.03,0.14,0.14,0
170,170,"Waste Options Nantucket, LLC",10/28/2020,,PFDoA,0.41,,,,0
171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,PFDoA,0.42,0.29,0.1,0.1,0
70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFDoA,0.43,1.0,0.34,0.34,0
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFDoA,0.44,3.16,0.44,0.44,1
74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFDoA,0.45,1.03,0.14,0.14,0
141,141,Rockport WTP,5/13/2021,Duplicate,PFDoA,0.45,0.45,,0.45,1
54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFDoA,0.46,1.4,0.45,0.45,0
91,91,Ipswich Compost,3/22/2021,Primary,PFDoA,0.462,0.462,,0.462,1
93,93,Ipswich Compost,3/22/2021,Primary,PFDoA,0.462,0.462,,0.462,1
51,51,Eresco (Erving),9/22/2020,Primary,PFDoA,0.47,1.4,0.47,0.47,1
94,94,Ipswich Compost,3/22/2021,Duplicate,PFDoA,0.485,0.485,,0.485,1
92,92,Ipswich Compost,3/22/2021,Duplicate,PFDoA,0.485,0.485,,0.485,1
140,140,Rockport WTP,5/13/2021,Primary,PFDoA,0.49,0.49,,0.49,1
50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFDoA,0.5,0.45,0.15,0.15,0
49,49,Eresco (Erving),9/22/2020,Primary,PFDoA,0.51,0.47,0.16,0.16,0
137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFDoA,0.51,0.57,0.19,0.19,0
205,205,RMI-RMF,3/31/2021,Duplicate,PFDoA,0.52,0.61,0.2,0.2,0
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFDoA,0.52,1.85,0.13,0.13,0
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFDoA,0.521,0.521,,0.521,1
136,136,Resource Management Inc RMF,6/30/2021,CPM,PFDoA,0.53,0.58,0.19,0.19,0
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFDoA,0.536,0.536,,0.536,1
121,121,Newburyport,11/3/2020,,PFDoA,0.54,0.54,,0.54,1
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFDoA,0.55,0.54,0.18,0.18,0
