,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFHpA,0.045,0.252,0.045,0.045,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFHpA,0.051,0.282,0.051,0.051,1
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFHpA,0.058,0.285,0.051,0.051,0
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFHpA,0.064,0.2,0.029,0.029,0
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFHpA,0.066,0.367,0.066,0.066,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFHpA,0.069,0.382,0.069,0.069,1
55,55,Eresco (Erving),3/23/2021,Primary,PFHpA,0.07,0.45,0.07,0.07,1
56,56,Eresco (Erving),3/23/2021,Duplicate,PFHpA,0.07,0.46,0.07,0.07,1
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFHpA,0.072,0.4,0.072,0.072,1
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFHpA,0.08,0.13,0.02,0.02,0
65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFHpA,0.08,0.13,0.02,0.02,0
137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFHpA,0.083,0.57,0.083,0.083,1
136,136,Resource Management Inc RMF,6/30/2021,CPM,PFHpA,0.084,0.58,0.084,0.084,1
73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFHpA,0.09,0.51,0.09,0.09,1
74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFHpA,0.09,0.52,0.09,0.09,1
71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFHpA,0.09,0.21,0.03,0.03,0
72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFHpA,0.1,0.2,0.03,0.03,0
