,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFNA,0.076,0.252,0.076,0.076,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFNA,0.085,0.282,0.085,0.085,1
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFNA,0.11,0.367,0.11,0.11,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFNA,0.114,0.382,0.114,0.114,1
121,121,Newburyport,11/3/2020,,PFNA,0.135,0.135,,0.135,1
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFNA,0.14,0.4,0.12,0.12,0
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFNA,0.145,0.285,0.086,0.086,0
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFNA,0.165,0.349,0.105,0.105,0
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFNA,0.177,0.592,0.177,0.177,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFNA,0.205,0.684,0.205,0.205,1
149,149,Salem Beverly SE Sample,5/19/2021,,PFNA,0.21,0.21,,0.21,1
124,124,North Chelmsford Water District,11/9/2020,,PFNA,0.21,0.21,,0.21,1
39,39,"Concord, NH WWTF",6/1/2021,,PFNA,0.21,0.21,,0.21,1
146,146,Salem Beverly NW Sample,5/19/2021,,PFNA,0.21,0.21,,0.21,1
101,101,"Merrimack, NH WWTF",6/2/2021,?,PFNA,0.21,0.21,,0.21,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFNA,0.213,0.709,0.213,0.213,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFNA,0.251,0.836,0.251,0.251,1
74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFNA,0.28,0.52,0.16,0.16,0
173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFNA,0.29,0.25,0.045,0.045,0
174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFNA,0.29,0.26,0.046,0.046,0
140,140,Rockport WTP,5/13/2021,Primary,PFNA,0.29,0.242,,0.242,0
73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFNA,0.3,0.51,0.15,0.15,0
141,141,Rockport WTP,5/13/2021,Duplicate,PFNA,0.3,0.226,,0.226,0
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFNA,0.306,1.02,0.306,0.306,1
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFNA,0.31,0.13,0.04,0.04,0
70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFNA,0.31,1.0,0.18,0.18,0
43,43,Dartmouth WWTF,4/26/2021,Duplicate,PFNA,0.33,0.0552,0.0554,0.0552,0
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFNA,0.344,0.261,,0.261,0
69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFNA,0.35,1.0,0.19,0.19,0
91,91,Ipswich Compost,3/22/2021,Primary,PFNA,0.352,0.231,,0.231,0
93,93,Ipswich Compost,3/22/2021,Primary,PFNA,0.352,0.231,,0.231,0
65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFNA,0.36,0.45,0.14,0.14,0
120,120,City of Newburyport WTP,5/5/2021,A52309,PFNA,0.361,0.361,,0.361,1
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFNA,0.371,0.268,,0.268,0
67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFNA,0.372,1.24,0.372,0.372,1
68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFNA,0.38,1.27,0.38,0.38,1
119,119,City of Newburyport WTP,5/5/2021,A52308,PFNA,0.385,0.385,,0.385,1
151,151,Somerset Water & Sewer Dept,10/27/2020,Duplicate,PFNA,0.39,2.2,0.39,0.39,1
134,134,Resource Management Inc RMF,10/6/2020,Primary,PFNA,0.39,2.2,0.39,0.39,1
125,125,North Chelmsford Water District,3/10/2021,Primary,PFNA,0.39,2.2,0.39,0.39,1
198,198,Rousselot Peabody,5/12/2021,A52429,PFNA,0.392,0.392,,0.392,1
170,170,"Waste Options Nantucket, LLC",10/28/2020,,PFNA,0.4,,,,0
172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,PFNA,0.4,0.31,0.056,0.056,0
199,199,Rousselot Peabody,5/12/2021,A52432,PFNA,0.406,0.394,,0.394,0
150,150,Somerset Water & Sewer Dept,10/27/2020,Primary,PFNA,0.41,2.3,0.41,0.41,1
137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFNA,0.42,0.57,0.1,0.1,0
205,205,RMI-RMF,3/31/2021,Duplicate,PFNA,0.44,0.61,0.11,0.11,0
135,135,Resource Management Inc RMF,10/6/2020,Duplicate,PFNA,0.45,2.5,0.45,0.45,1
71,71,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets,PFNA,0.45,0.21,0.04,0.04,0
171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,PFNA,0.46,0.29,0.053,0.053,0
42,42,Dartmouth WWTF,4/26/2021,Primary,PFNA,0.462,0.063,0.63,0.063,0
51,51,Eresco (Erving),9/22/2020,Primary,PFNA,0.47,1.4,0.47,0.47,1
72,72,Greater Lawrence Sanitary District,6/15/2021,Synagro Pellets-DUP,PFNA,0.47,0.2,0.04,0.04,0
126,126,North Chelmsford Water District,3/10/2021,Duplicate,PFNA,0.47,2.6,0.47,0.47,1
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFNA,0.475,1.58,0.475,0.475,1
94,94,Ipswich Compost,3/22/2021,Duplicate,PFNA,0.481,0.243,,0.243,0
92,92,Ipswich Compost,3/22/2021,Duplicate,PFNA,0.481,0.243,,0.243,0
136,136,Resource Management Inc RMF,6/30/2021,CPM,PFNA,0.49,0.58,0.1,0.1,0
114,114,MWRA,12/22/2020,Duplicate,PFNA,0.495,0.458,,0.458,0
122,122,Newburyport,8/4/2021,A54268,PFNA,0.505,0.505,,0.505,1
37,37,"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,PFNA,0.512,0.512,,0.512,1
113,113,MWRA,12/22/2020,Primary,PFNA,0.52,0.503,,0.503,0
103,103,Milorganite,5/28/2020,,PFNA,0.52,,,,0
38,38,"Concord, NH WWTF",3/19/2021,,PFNA,0.528,0.528,,0.528,1
206,206,Taunton Water Treatment Facility,4/30/2021,Lagoon 2A/2B/2C Composite,PFNA,0.53,0.53,,0.53,1
193,193,Rousselot,3/11/2021,A51157,PFNA,0.537,0.537,,0.537,1
115,115,MWRA,3/11/2021,Primary,PFNA,0.538,0.13,,0.13,0
30,30,"Bristol RI, WPCF",2/10/2021,,PFNA,0.54,2.0,0.54,0.54,1
29,29,"Bristol RI, WPCF",10/14/2020,,PFNA,0.54,0.54,,0.54,1
191,191,Rousselot,3/11/2021,A51149,PFNA,0.552,0.458,,0.458,0
95,95,Ipswich Compost,6/4/2021,Ipswich Compost,PFNA,0.567,,,,0
194,194,Rousselot,3/11/2021,A51158,PFNA,0.571,0.571,,0.571,1
63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFNA,0.58,0.21,0.037,0.037,0
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFNA,0.59,0.2,0.036,0.036,0
107,107,Montague WPCF,3/16/2021,Duplicate,PFNA,0.6,3.3,0.6,0.6,1
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFNA,0.61,0.54,0.097,0.097,0
57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFNA,0.61,0.44,0.079,0.079,0
116,116,MWRA,3/11/2021,Duplicate,PFNA,0.614,0.128,,0.128,0
123,123,Newburyport,8/4/2021,A54269,PFNA,0.635,0.635,,0.635,1
61,61,Greater Lawrence Sanitary District,9/29/2020,,PFNA,0.637,0.637,,0.637,1
106,106,Montague WPCF,3/16/2021,Primary,PFNA,0.64,3.5,0.64,0.64,1
49,49,Eresco (Erving),9/22/2020,Primary,PFNA,0.64,0.47,0.084,0.084,0
48,48,Eresco (Erving),5/19/2020,,PFNA,0.64,,,,0
23,23,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,PFNA,0.65,3.6,0.65,0.65,1
27,27,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,PFNA,0.67,0.4,0.073,0.073,0
24,24,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,PFNA,0.67,3.5,0.63,0.63,0
201,201,Rousselot Peabody,5/12/2021,A52441,PFNA,0.67,0.67,,0.67,1
109,109,MWRA,3/11/2020,,PFNA,0.7,,,,0
200,200,Rousselot Peabody,5/12/2021,A52440,PFNA,0.706,0.706,,0.706,1
28,28,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,PFNA,0.71,0.49,0.087,0.087,0
40,40,Dartmouth WWTF,10/27/2020,Primary,PFNA,0.733,0.509,0.0513,0.0513,0
192,192,Rousselot,3/11/2021,A51151,PFNA,0.735,0.474,,0.474,0
54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFNA,0.74,1.4,0.45,0.45,0
50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFNA,0.78,0.45,0.081,0.081,0
179,179,Weymouth Water Dpt,2/8/2021,Lagoon A Primary,PFNA,0.805,3.0,0.805,0.805,1
14,14,Barnhardt,3/23/2021,Duplicate,PFNA,0.81,0.81,,0.81,1
13,13,Barnhardt,3/23/2021,Primary,PFNA,0.815,0.815,,0.815,1
130,130,Ocean Spray Middleborough,3/26/2021,,PFNA,0.83,0.83,,0.83,1
102,102,Middleborough ,10/30/2020,,PFNA,0.83,,,,0
204,204,RMI-RMF,3/31/2021,Primary,PFNA,0.83,0.74,0.13,0.13,0
127,127,Ocean Spray Middleborough ,10/30/2020,,PFNA,0.83,,,,0
112,112,MWRA,9/14/2020,Duplicate,PFNA,0.84,0.5,,0.5,0
110,110,MWRA,9/14/2020, ,PFNA,0.849,,,,0
77,77,Hawk Ridge Compost Facility,5/2/2021,HRCF051221,PFNA,0.85,4.7,0.85,0.85,1
111,111,MWRA,9/14/2020,Primary,PFNA,0.85,0.51,,0.51,0
55,55,Eresco (Erving),3/23/2021,Primary,PFNA,0.87,0.45,0.081,0.081,0
108,108,MWRA,3/25/2019,,PFNA,0.893,0.893,,0.893,1
56,56,Eresco (Erving),3/23/2021,Duplicate,PFNA,0.9,0.46,0.083,0.083,0
162,162,Southbridge WWTF,9/25/2020,,PFNA,0.909,,,,0
105,105,Montague WPCF,10/26/2020,1 DUPLICATE,PFNA,0.91,5.1,0.91,0.91,1
41,41,Dartmouth WWTF,10/27/2020,Duplicate,PFNA,0.919,0.499,0.0502,0.0502,0
32,32,Cascades Paper Mill,12/11/2020,Duplicate,PFNA,0.94,5.2,0.94,0.94,1
33,33,Cascades Paper Mill,3/1/2021,Primary,PFNA,0.96,5.3,0.96,0.96,1
76,76,Hawk Ridge Compost,10/23/2020,Compost 2,PFNA,0.97,5.4,0.97,0.97,1
180,180,Weymouth Water Dpt,2/8/2021,Lagoon A Duplicate,PFNA,0.974,3.25,0.974,0.974,1
34,34,Cascades Paper Mill,3/1/2021,Duplicate,PFNA,1.0,5.7,1.0,1.0,1
53,53,Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,PFNA,1.0,4.7,0.85,0.85,0
78,78,Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,PFNA,1.0,5.8,1.0,1.0,1
104,104,Montague WPCF,10/26/2020,1,PFNA,1.0,5.6,1.0,1.0,1
35,35,"Concord, NH WWTF",3/11/2020,,PFNA,1.04,1.04,,1.04,1
16,16,Barnhardt,6/8/2021,Duplicate,PFNA,1.07,1.07,,1.07,1
31,31,Cascades Paper Mill,12/11/2020,Primary,PFNA,1.1,6.1,1.1,1.1,1
25,25,Bridgewater Sewer,1/27/2021,Primary,PFNA,1.1,5.9,1.1,1.1,1
62,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,PFNA,1.1,0.42,0.076,0.076,0
118,118,Nashua WWTF,2/26/2021,Duplicate,PFNA,1.1,6.2,1.1,1.1,1
52,52,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFNA,1.1,4.5,0.81,0.81,0
11,11,Barnhardt,10/14/2020,,PFNA,1.15,1.15,,1.15,1
12,12,Barnhardt,10/14/2020,,PFNA,1.16,1.16,,1.16,1
15,15,Barnhardt,6/8/2021,Primary,PFNA,1.18,1.06,,1.06,0
117,117,Nashua WWTF,2/26/2021,Primary,PFNA,1.2,6.7,1.2,1.2,1
26,26,Bridgewater Sewer,1/27/2021,Duplicate,PFNA,1.2,6.4,1.2,1.2,1
87,87,Ipswich Compost,4/16/2020,,PFNA,1.23,,,,0
168,168,"Southbridge, MA",5/11/2021,,PFNA,1.24,7.6,,7.6,0
139,139,Rockport WTP,9/14/2020,Duplicate,PFNA,1.37,1.37,,1.37,1
129,129,Ocean Spray Middleborough,3/12/2021,Duplicate,PFNA,1.38,1.38,,1.38,1
166,166,"Southbridge, MA",2/11/2021,Duplicate,PFNA,1.41,0.229,,0.229,0
167,167,"Southbridge, MA",5/11/2021,,PFNA,1.41,7.6,,7.6,0
164,164,"Southbridge, MA",12/4/2020,Duplicate,PFNA,1.45,,,,0
96,96,"Merrimack, NH WWTF",3/6/2020,,PFNA,1.46,,,,0
165,165,"Southbridge, MA",2/11/2021,Primary,PFNA,1.49,0.234,,0.234,0
89,89,Ipswich Compost,12/30/2020,Primary,PFNA,1.49,0.318,,0.318,0
158,158,Soundview Vermont Holdings,3/1/2021,Primary,PFNA,1.5,4.8,0.87,0.87,0
163,163,"Southbridge, MA",12/4/2020,Primary sample,PFNA,1.55,,,,0
142,142,Rouselott,10/19/2020,,PFNA,1.57,1.57,,1.57,1
132,132,Resource Management Inc,11/16/2020,Primary,PFNA,1.6,9.0,1.6,1.6,1
133,133,Resource Management Inc,11/16/2020,Duplicate,PFNA,1.6,9.1,1.6,1.6,1
88,88,Ipswich Compost,9/25/2020, ,PFNA,1.61,,,,0
182,182,Weymouth Water Dpt,2/8/2021,Lagoon B Duplicate,PFNA,1.62,5.4,1.62,1.62,1
190,190,Rousselot,3/11/2021,A51146,PFNA,1.63,1.63,,1.63,1
181,181,Weymouth Water Dpt,2/8/2021,Lagoon B Primary,PFNA,1.64,5.45,1.64,1.64,1
189,189,Rousselot,3/11/2021,A51145,PFNA,1.65,1.65,,1.65,1
159,159,Soundview Vermont Holdings,3/1/2021,SVH Duplicate,PFNA,1.7,4.9,0.89,0.89,0
44,44,"EarthSource, Inc.",10/30/2020,,PFNA,1.72,1.72,,1.72,1
161,161,Southbridge WWTF,4/8/2020,,PFNA,1.73,,,,0
5,5,Amesbury WTP,6/16/2021,A53246,PFNA,1.79,0.579,,0.579,0
86,86,Hoosac Water Quality District,6/2/2021,"Field
Blank",PFNA,1.8,1.8,,1.8,1
195,195,Rousselot,3/11/2021,A51160,PFNA,1.81,1.81,,1.81,1
6,6,Amesbury WTP,6/16/2021,A53247,PFNA,1.89,0.611,,0.611,0
160,160,Soundview Vermont Holdings,5/14/2021,,PFNA,1.89,,,,0
157,157,Soundview Vermont Holdings,12/9/2020,,PFNA,1.9,0.49,0.088,0.088,0
84,84,Hoosac Water Quality District,6/2/2021,Final Compost,PFNA,1.9,0.209,,0.209,0
90,90,Ipswich Compost,12/30/2020,Duplicate,PFNA,1.91,0.306,,0.306,0
47,47,Eresco (Erving),7/31/2019,,PFNA,2.0,,,,0
138,138,Rockport WTP,9/14/2020,PRIMARY SAMPLE,PFNA,2.0,2.0,,2.0,1
185,185,Weymouth Water Dpt,4/14/2021,North Field Primary,PFNA,2.06,2.06,,2.06,1
128,128,Ocean Spray Middleborough,3/12/2021,Primary,PFNA,2.1,2.1,,2.1,1
145,145,Salem Beverly NW Sample,2/12/2021,,PFNA,2.1,6.4,2.1,2.1,1
156,156,Soundview Vermont Holdings,12/9/2020,,PFNA,2.2,0.54,0.096,0.096,0
85,85,Hoosac Water Quality District,6/2/2021,"Final Compost
Duplicate",PFNA,2.25,0.776,,0.776,0
143,143,Salem & Beverly Water Supply,10/6/2020,,PFNA,2.3,2.3,,2.3,1
148,148,Salem Beverly SE Sample,2/12/2021,,PFNA,2.3,6.9,2.3,2.3,1
147,147,Salem Beverly SE Sample,10/6/2020,,PFNA,2.3,2.3,,2.3,1
75,75,Hawk Ridge Compost,10/23/2020,Compost 1,PFNA,2.4,0.58,0.11,0.11,0
4,4,Amesbury WTP,3/3/2021,Duplicate,PFNA,2.4,0.709,,0.709,0
3,3,Amesbury WTP,3/3/2021,Primary,PFNA,2.45,0.701,,0.701,0
0,0,Amesbury WTP,9/9/2020, ,PFNA,2.6,2.6,,2.6,1
18,18,Braintree Water and Sewer,10/29/2020,,PFNA,2.7,15.0,2.7,2.7,1
100,100,"Merrimack, NH WWTF",3/19/2021,,PFNA,2.72,0.25,,0.25,0
99,99,"Merrimack, NH WWTF",9/17/2020,Duplicate,PFNA,2.75,,,,0
7,7,Barnhardt,6/2/2020,,PFNA,3.09,3.09,,3.09,1
22,22,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,PFNA,3.1,17.0,3.1,3.1,1
20,20,Braintree Water and Sewer,3/3/2021,,PFNA,3.1,17.0,3.1,3.1,1
81,81,Hoosac Water Quality District,12/9/2020,,PFNA,3.13,1.69,,1.69,0
8,8,Barnhardt,6/2/2020,,PFNA,3.2,3.2,,3.2,1
9,9,Barnhardt,9/3/2020,,PFNA,3.29,3.29,,3.29,1
10,10,Barnhardt,9/3/2020,,PFNA,3.35,3.35,,3.35,1
98,98,"Merrimack, NH WWTF",9/17/2020,PRIMARY SAMPLE,PFNA,3.37,,,,0
196,196,Rousselot Peabody,5/12/2021,A52427,PFNA,3.48,3.48,,3.48,1
186,186,Weymouth Water Dpt,4/14/2021,North Field Duplicate,PFNA,3.64,3.64,,3.64,1
79,79,Hoosac Water Quality District,5/1/2020,,PFNA,3.68,,,,0
83,83,Hoosac Water Quality District,3/3/2021,"Final Compost
Duplicate",PFNA,3.69,0.221,,0.221,0
17,17,Braintree Water and Sewer,10/29/2020,,PFNA,3.7,20.0,3.7,3.7,1
80,80,Hoosac Water Quality District,9/15/2020, ,PFNA,3.72,,,,0
202,202,Hawk Ridge Compost Facility,3/2/2021,HRCF1-A,PFNA,3.8,6.1,1.1,1.1,0
152,152,Somerset Water & Sewer Dept,1/19/2021,Primary,PFNA,3.8,3.3,0.6,0.6,0
153,153,Somerset Water & Sewer Dept,1/19/2021,Duplicate,PFNA,3.9,3.4,0.61,0.61,0
82,82,Hoosac Water Quality District,3/3/2021,Final Compost,PFNA,3.91,0.212,,0.212,0
155,155,Somerset Water & Sewer Dept,4/26/2021,Duplicate,PFNA,4.0,3.7,0.66,0.66,0
21,21,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,PFNA,4.3,24.0,4.3,4.3,1
19,19,Braintree Water and Sewer,3/3/2021,,PFNA,4.3,24.0,4.3,4.3,1
203,203,Hawk Ridge Compost Facility,3/2/2021,HRCF1-B,PFNA,4.3,5.7,1.0,1.0,0
144,144,Salem Beverly NW Sample,10/6/2020,,PFNA,4.4,4.4,,4.4,1
154,154,Somerset Water & Sewer Dept,4/26/2021,Primary ,PFNA,4.5,4.6,0.82,0.82,0
197,197,Rousselot Peabody,5/12/2021,A52428,PFNA,4.89,4.89,,4.89,1
188,188,Weymouth Water Dpt,7/22/2021,AJB NORTH FIELD DUPLICATE,PFNA,5.61,5.61,,5.61,1
187,187,Weymouth Water Dpt,7/22/2021,AJB NORTH,PFNA,5.66,5.66,,5.66,1
131,131,"Ocean Spray Receiving Station, Carver, MA",10/30/2020,,PFNA,6.19,6.19,,6.19,1
1,1,Amesbury WTP,12/2/2020,A49324,PFNA,7.53,0.65,,0.65,0
169,169,"Southbridge, MA",5/11/2021,,PFNA,7.6,7.6,,7.6,1
97,97,"Merrimack, NH WWTF",9/17/2020, ,PFNA,8.24,,,,0
2,2,Amesbury WTP,12/2/2020,A49325,PFNA,8.44,0.663,,0.663,0
36,36,"Concord, NH WWTF",9/2/2020, ,PFNA,11.2,11.2,,11.2,1
