,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFOA,0.042,0.252,0.042,0.042,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFOA,0.047,0.282,0.047,0.047,1
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFOA,0.099,0.592,0.099,0.099,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFOA,0.115,0.684,0.115,0.115,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFOA,0.119,0.709,0.119,0.119,1
121,121,Newburyport,11/3/2020,,PFOA,0.135,0.135,,0.135,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFOA,0.14,0.836,0.14,0.14,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFOA,0.144,0.382,0.064,0.064,0
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFOA,0.145,0.367,0.062,0.062,0
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFOA,0.153,0.4,0.067,0.067,0
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFOA,0.171,1.02,0.171,0.171,1
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFOA,0.198,0.285,0.048,0.048,0
124,124,North Chelmsford Water District,11/9/2020,,PFOA,0.21,0.21,,0.21,1
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFOA,0.265,1.58,0.265,0.265,1
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFOA,0.309,0.261,,0.261,0
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFOA,0.316,0.268,,0.268,0
120,120,City of Newburyport WTP,5/5/2021,A52309,PFOA,0.361,0.361,,0.361,1
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFOA,0.37,0.54,0.23,0.23,0
57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFOA,0.38,0.44,0.19,0.19,0
119,119,City of Newburyport WTP,5/5/2021,A52308,PFOA,0.385,0.385,,0.385,1
51,51,Eresco (Erving),9/22/2020,Primary,PFOA,0.47,1.4,0.47,0.47,1
