,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFUnA,0.02,0.51,0.02,0.02,1
65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFUnA,0.02,0.52,0.02,0.02,1
64,64,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,PFUnA,0.036,0.2,0.036,0.036,1
173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFUnA,0.045,0.25,0.045,0.045,1
174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFUnA,0.046,0.26,0.046,0.046,1
45,45,"EarthSource, Inc.",1/22/2021,Primary,PFUnA,0.047,0.503,0.047,0.047,1
46,46,"EarthSource, Inc.",1/22/2021,Duplicate,PFUnA,0.053,0.564,0.053,0.053,1
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFUnA,0.111,1.18,0.111,0.111,1
41,41,Dartmouth WWTF,10/27/2020,Duplicate,PFUnA,0.113,0.499,0.113,0.113,1
40,40,Dartmouth WWTF,10/27/2020,Primary,PFUnA,0.115,0.509,0.115,0.115,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFUnA,0.128,1.37,0.128,0.128,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFUnA,0.133,1.42,0.133,0.133,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFUnA,0.156,1.67,0.156,0.156,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFUnA,0.173,0.764,0.072,0.072,0
207,207,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-001,PFUnA,0.175,0.57,0.053,0.053,0
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFUnA,0.181,0.734,0.069,0.069,0
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFUnA,0.182,0.8,0.075,0.075,0
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFUnA,0.184,0.698,0.065,0.065,0
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFUnA,0.191,2.04,0.191,0.191,1
147,147,Salem Beverly SE Sample,10/6/2020,,PFUnA,0.21,0.21,,0.21,1
48,48,Eresco (Erving),5/19/2020,,PFUnA,0.21,0.21,,0.21,1
47,47,Eresco (Erving),7/31/2019,,PFUnA,0.21,0.21,,0.21,1
7,7,Barnhardt,6/2/2020,,PFUnA,0.21,0.21,,0.21,1
149,149,Salem Beverly SE Sample,5/19/2021,,PFUnA,0.21,0.21,,0.21,1
