"obs","censored","pp","modeled"
0.042,TRUE,0.0522434770671401,0.0890645040330524
0.047,TRUE,0.0522434770671401,0.0890645040330524
0.099,TRUE,0.0522434770671401,0.0890645040330524
0.115,TRUE,0.0522434770671401,0.0890645040330524
0.119,TRUE,0.0522434770671401,0.0890645040330524
0.135,TRUE,0.0522434770671401,0.0890645040330524
0.14,TRUE,0.0522434770671401,0.0890645040330524
0.144,FALSE,0.115681984934382,0.144
0.145,FALSE,0.126877015734483,0.145
0.153,FALSE,0.138072046534585,0.153
0.171,TRUE,0.074633538667343,0.118485262066588
0.198,FALSE,0.156051944486263,0.198
0.21,TRUE,0.0814184058189196,0.127488037504062
0.265,TRUE,0.0814184058189196,0.127488037504062
0.309,FALSE,0.170590945525355,0.309
0.316,FALSE,0.178345079412872,0.316
0.361,TRUE,0.0930496066501939,0.14309715081766
0.37,FALSE,0.193397221665109,0.37
0.38,FALSE,0.20069523002983,0.38
0.385,TRUE,0.103996619197275,0.158038974671634
0.47,TRUE,0.103996619197275,0.158038974671634
0.489,FALSE,0.214596198343584,0.489
0.489,FALSE,0.221199158292618,0.489
0.504,TRUE,0.113901059120826,0.171804218036342
0.505,TRUE,0.113901059120826,0.171804218036342
0.52,FALSE,0.232358160606484,0.52
0.53,TRUE,0.118457101485659,0.178222790683372
0.544,TRUE,0.118457101485659,0.178222790683372
0.55,FALSE,0.244529302352538,0.55
0.55,FALSE,0.252144401733759,0.55
0.556,FALSE,0.25975950111498,0.556
0.568,FALSE,0.267374600496201,0.568
0.57,FALSE,0.274989699877422,0.57
0.58,FALSE,0.282604799258643,0.58
0.58,FALSE,0.290219898639864,0.58
0.6,FALSE,0.297834998021084,0.6
0.61,FALSE,0.305450097402305,0.61
0.635,TRUE,0.156532598391763,0.234338682787544
0.637,TRUE,0.156532598391763,0.234338682787544
0.66,FALSE,0.320519130040277,0.66
0.727,FALSE,0.327973063297028,0.727
0.74,FALSE,0.335426996553778,0.74
0.74,FALSE,0.342880929810529,0.74
0.75,FALSE,0.350334863067279,0.75
0.763,FALSE,0.35778879632403,0.763
0.77,FALSE,0.365242729580781,0.77
0.78,FALSE,0.372696662837531,0.78
0.782,FALSE,0.380150596094282,0.782
0.79,FALSE,0.387604529351033,0.79
0.79,FALSE,0.395058462607783,0.79
0.791,FALSE,0.402512395864534,0.791
0.8,FALSE,0.409966329121285,0.8
0.81,TRUE,0.208710131189018,0.319975901404471
0.815,TRUE,0.208710131189018,0.319975901404471
0.82,FALSE,0.424184016629531,0.82
0.82,FALSE,0.430947770881027,0.82
0.82,FALSE,0.437711525132523,0.82
0.888,FALSE,0.444475279384019,0.888
0.895,FALSE,0.451239033635515,0.895
0.9,FALSE,0.458002787887011,0.9
0.901,FALSE,0.464766542138507,0.901
0.906,TRUE,0.235765148195001,0.369197448395844
0.914,TRUE,0.235765148195001,0.369197448395844
0.93,TRUE,0.235765148195001,0.369197448395844
0.944,FALSE,0.47797699966096,0.944
0.954,FALSE,0.484423702931917,0.954
0.97,FALSE,0.490870406202874,0.97
1,FALSE,0.497317109473831,1
1,FALSE,0.503763812744788,1
1,FALSE,0.510210516015745,1
1.02,FALSE,0.516657219286702,1.02
1.04,TRUE,0.26155196127883,0.419675185259925
1.04,FALSE,0.526736588686532,1.04
1.07,TRUE,0.265184627407702,0.427088562978201
1.1,FALSE,0.536026526866769,1.1
1.1,TRUE,0.265184627407702,0.427088562978201
1.1,FALSE,0.541683798918133,1.1
1.1,FALSE,0.547341070969497,1.1
1.1,FALSE,0.552998343020862,1.1
1.15,FALSE,0.562147212666427,1.15
1.15,TRUE,0.279327807536113,0.456707312818606
1.16,FALSE,0.570812335964232,1.16
1.16,TRUE,0.282819405130314,0.464210196506042
1.2,FALSE,0.575985861667835,1.2
1.2,FALSE,0.581159387371439,1.2
1.37,TRUE,0.293166456537521,0.486905698615131
1.38,TRUE,0.293166456537521,0.486905698615131
1.4,FALSE,0.591885308085222,1.4
1.4,TRUE,0.293166456537521,0.486905698615131
1.4,FALSE,0.597437703095403,1.4
1.44,FALSE,0.602990098105583,1.44
1.44,FALSE,0.608542493115763,1.44
1.45,FALSE,0.614094888125944,1.45
1.5,TRUE,0.309823641568062,0.52495528785642
1.57,TRUE,0.309823641568062,0.52495528785642
1.6,FALSE,0.624539235371409,1.6
1.6,FALSE,0.629431187606694,1.6
1.6,FALSE,0.63432313984198,1.6
1.63,TRUE,0.319607546038632,0.548221339642959
1.72,TRUE,0.319607546038632,0.548221339642959
1.76,FALSE,0.642411167537651,1.76
1.8,TRUE,0.322803621499019,0.555974948910771
1.81,TRUE,0.322803621499019,0.555974948910771
1.83,FALSE,0.649785930654983,1.83
1.83,FALSE,0.653964618311928,1.83
1.9,TRUE,0.329071652984437,0.571406509286021
1.94,FALSE,0.662282572044149,1.94
1.97,FALSE,0.666421838119425,1.97
2,TRUE,0.2235203680649,0.346471369881991
2,TRUE,0.447040736129801,0.929787169042961
2.06,FALSE,0.673581649709091,2.06
2.06,TRUE,0.33528055209735,0.586993666077377
2.1,FALSE,0.680490713586835,2.1
2.1,TRUE,0.135320439044696,0.202501880464655
2.1,TRUE,0.270640878089393,0.438370735779143
2.1,FALSE,0.684379231950189,2.1
2.1,TRUE,0.405961317134089,0.788400804398785
2.1,TRUE,0.541281756178786,1.34972383407656
2.2,TRUE,0.229422583437847,0.357330321104499
2.2,TRUE,0.458845166875695,0.974431076629079
2.3,TRUE,0.229422583437847,0.357330321104499
2.3,TRUE,0.458845166875695,0.974431076629079
2.4,TRUE,0.229422583437847,0.357330321104499
2.4,TRUE,0.458845166875695,0.974431076629079
2.42,FALSE,0.693025361490824,2.42
2.43,FALSE,0.697782972668107,2.43
2.5,FALSE,0.70254058384539,2.5
2.5,FALSE,0.707298195022672,2.5
2.56,FALSE,0.712055806199955,2.56
2.59,FALSE,0.716813417377237,2.59
2.6,TRUE,0.24052367618484,0.378238766573701
2.6,TRUE,0.48104735236968,1.06390838805931
2.7,TRUE,0.36078551427726,0.654348061492506
2.7,FALSE,0.724283701594199,2.7
2.8,TRUE,0.363498187316939,0.661842853669891
2.8,FALSE,0.729688953799188,2.8
2.9,TRUE,0.366190766482249,0.669348020677967
3,FALSE,0.735054458267289,3
3.09,TRUE,0.368863691785039,0.676864129523444
3.1,TRUE,0.368863691785039,0.676864129523444
3.1,FALSE,0.741240371110889,3.1
3.16,FALSE,0.744753358651699,3.16
3.2,TRUE,0.374133173096254,0.691876510749026
3.29,TRUE,0.374133173096254,0.691876510749026
3.35,TRUE,0.374133173096254,0.691876510749026
3.48,TRUE,0.374133173096254,0.691876510749026
3.49,FALSE,0.751683087499324,3.49
3.57,FALSE,0.755099828806139,3.57
3.6,FALSE,0.762284036520799,3.6
3.6,TRUE,0.189629142528238,0.287337636228007
3.6,FALSE,0.766051502928645,3.6
3.6,TRUE,0.379258285056477,0.706730668360652
3.6,TRUE,0.568887427584715,1.5066373627592
3.6,FALSE,0.769818969336491,3.6
3.64,TRUE,0.386793217872168,0.729034989596791
3.67,FALSE,0.777329595917293,3.67
3.74,FALSE,0.78107275609025,3.74
3.8,FALSE,0.784815916263206,3.8
3.9,FALSE,0.793039525734096,3.9
3.9,TRUE,0.262853025478721,0.422321424073502
