"obs","censored","pp","modeled"
0.02,TRUE,0.125438610795336,0.0843384459727104
0.02,TRUE,0.250877221590672,0.142803069381947
0.036,TRUE,0.188157916193004,0.112852665404751
0.045,TRUE,0.188157916193004,0.112852665404751
0.046,TRUE,0.188157916193004,0.112852665404751
0.047,TRUE,0.188157916193004,0.112852665404751
0.053,TRUE,0.188157916193004,0.112852665404751
0.111,TRUE,0.188157916193004,0.112852665404751
0.113,TRUE,0.188157916193004,0.112852665404751
0.115,TRUE,0.188157916193004,0.112852665404751
0.128,TRUE,0.188157916193004,0.112852665404751
0.133,TRUE,0.188157916193004,0.112852665404751
0.156,TRUE,0.188157916193004,0.112852665404751
0.173,FALSE,0.400438642154342,0.173
0.175,FALSE,0.424561451922676,0.175
0.181,FALSE,0.44868426169101,0.181
0.182,FALSE,0.472807071459344,0.182
0.184,FALSE,0.496929881227678,0.184
0.191,TRUE,0.260526345498006,0.147618679876962
0.21,TRUE,0.0236842132270914,0.0335228825993555
0.21,TRUE,0.0473684264541829,0.0473295071096074
0.21,TRUE,0.0710526396812743,0.0592291766466396
0.21,TRUE,0.0947368529083658,0.0703633958445469
0.21,TRUE,0.118421066135457,0.0811655957418804
0.21,TRUE,0.142105279362549,0.091861859404972
0.21,TRUE,0.16578949258964,0.102593606176188
0.21,TRUE,0.189473705816732,0.113461411456832
0.21,TRUE,0.213157919043823,0.124544318233674
0.21,TRUE,0.236842132270914,0.135909663581698
0.21,TRUE,0.260526345498006,0.147618679876962
0.21,TRUE,0.284210558725097,0.159730029637463
0.21,TRUE,0.307894771952189,0.172302272446583
0.21,TRUE,0.33157898517928,0.185395774226781
0.21,TRUE,0.355263198406372,0.199074345949657
0.21,TRUE,0.378947411633463,0.213406791625937
0.21,TRUE,0.402631624860555,0.228468493966343
0.21,TRUE,0.426315838087646,0.244343144491018
0.21,TRUE,0.450000051314737,0.261124721662214
0.21,TRUE,0.473684264541829,0.278919831283771
0.21,TRUE,0.49736847776892,0.297850547274459
0.23,FALSE,0.529736902512612,0.23
0.27,FALSE,0.538421114029212,0.27
0.296,TRUE,0.273552662772906,0.154226411343682
0.325,FALSE,0.557284029276897,0.325
0.34,FALSE,0.567462733007982,0.34
0.34,FALSE,0.577641436739067,0.34
0.382,FALSE,0.587820140470152,0.382
0.39,TRUE,0.149499711050309,0.0952033023305554
0.39,TRUE,0.298999422100618,0.167522553765755
0.39,TRUE,0.448499133150928,0.26003235199488
0.4,FALSE,0.603978832643249,0.4
0.41,FALSE,0.618756304081684,0.41
0.41,TRUE,0.304979410542631,0.170727830466673
0.414,FALSE,0.627553787078106,0.414
0.42,FALSE,0.636351270074528,0.42
0.45,TRUE,0.322574376535475,0.180352313869498
0.451,TRUE,0.322574376535475,0.180352313869498
0.462,TRUE,0.215049584356983,0.125440856032051
