,folder,report,RTN,address,date_sampled,sample_id,lab,page,Matrix,DF,Acronym,Compound,CAS,Result,RL,MCL,MDL,Units,Result_val,limit
0,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.1,,,ug/kg,,1.1
1,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.1,,,ug/kg,,1.1
2,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,1.22,1.1,,,ug/kg,1.22,1.1
3,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.1,,,ug/kg,,1.1
4,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.1,,,ug/kg,,1.1
5,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.1,,,ug/kg,,1.1
6,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.1,,,ug/kg,,1.1
7,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.1,,,ug/kg,,1.1
8,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.1,,,ug/kg,,1.1
9,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.1,,,ug/kg,,1.1
10,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.1,,,ug/kg,,1.1
11,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.1,,,ug/kg,,1.1
12,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,2.8,,,ug/kg,,2.8
13,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,2.8,,,ug/kg,,2.8
14,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.1,,,ug/kg,,1.1
15,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  0-12,SGS,7,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.1,,,ug/kg,,1.1
16,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.1,,,ug/kg,,1.1
17,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.1,,,ug/kg,,1.1
18,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.1,,,ug/kg,,1.1
19,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.1,,,ug/kg,,1.1
20,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.1,,,ug/kg,,1.1
21,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFUnA,Perfluoroundecanoic acid,2058-94-8,ND,1.1,,,ug/kg,,1.1
22,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFDoA,Perfluorododecanoic acid,307-55-1,ND,1.1,,,ug/kg,,1.1
23,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFTrDA,Perfluorotridecanoic acid,72629-94-8,ND,1.1,,,ug/kg,,1.1
24,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFTA,Perfluorotetradecanoic acid,376-06-7,ND,1.1,,,ug/kg,,1.1
25,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFBS,Perfluorobutanesulfonic acid,375-73-5,ND,1.1,,,ug/kg,,1.1
26,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFHxS,Perfluorohexanesulfonic acid,355-46-4,ND,1.1,,,ug/kg,,1.1
27,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,PFOS,Perfluorooctanesulfonic acid,1763-23-1,ND,1.1,,,ug/kg,,1.1
28,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,N-MeFOSAA,N-methyl perfluorooctanesulfonamidoacetic  acid,2355-31-9,ND,2.8,,,ug/kg,,2.8
29,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,N-EtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic  acid,2991-50-6,ND,2.8,,,ug/kg,,2.8
30,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,ADONA,"4,8-dioxa-3H-perfluorononanoic acid",919005-14-4,ND,1.1,,,ug/kg,,1.1
31,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B1  5-7,SGS,9,SO - Soil,1,9Cl-PF 3ONS,9-chlorohexadecafluoro-3-oxanone  -1-sulfonic acid,756426-58-1,ND,1.1,,,ug/kg,,1.1
32,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,PFHxA,Perfluorohexanoic acid,307-24-4,ND,1.2,,,ug/kg,,1.2
33,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,PFHpA,Perfluoroheptanoic acid,375-85-9,ND,1.2,,,ug/kg,,1.2
34,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,PFOA,Perfluorooctanoic acid,335-67-1,ND,1.2,,,ug/kg,,1.2
35,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,PFNA,Perfluorononanoic acid,375-95-1,ND,1.2,,,ug/kg,,1.2
36,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,,CMG-B2  4-5,SGS,11,SO - Soil,1,PFDA,Perfluorodecanoic acid,335-76-2,ND,1.2,,,ug/kg,,1.2
