,folder,report,RTN,address,lab,results_page,extracted_compounds
0,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,7,16.0
2,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,9,16.0
4,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,11,16.0
6,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,13,16.0
8,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,15,16.0
10,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,17,16.0
12,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,19,16.0
14,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,21,16.0
16,2-0021045 - Stow - MA Fire Academy/,lab report FA68181 soil borings 09-18-2019.pdf,2-0021045,,sgs,23,16.0
19,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,10,16.0
21,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,12,16.0
23,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,14,16.0
24,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,15,16.0
26,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,17,16.0
28,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,19,16.0
30,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,21,16.0
32,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,23,16.0
34,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,25,16.0
36,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,27,16.0
38,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,29,16.0
40,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,31,16.0
42,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,33,16.0
44,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,35,16.0
46,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,37,16.0
48,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,39,16.0
50,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,41,16.0
52,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,43,16.0
54,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,45,16.0
