report,address,lat,lon,
AFFF Sampling Results - 3M- Millbury.pdf,"126 Elm St, Millbury, MA 01527",42.1906702,-71.7649465,
AFFF Sampling Results - Ansulite- Millbury.pdf,"126 Elm St, Millbury, MA 01527",42.1906702,-71.7649465,
2-0021075 - Stow - Document_ID_550063 MW.pdf,"16 CRESCENT ST, STOW MA",42.437553,-71.505544,
2-0021075 - Stow - Document_ID_550063 SL.pdf,"16 CRESCENT ST, STOW MA",42.437553,-71.505544,
AFFF Sampling Results - 3M Light Water- Uxbridge.pdf,"25 S Main St, Uxbridge, MA 01569",42.0826866,-71.6442779,
AFFF Sampling Results - Ansul T-Storm- Hudson.pdf,"296 Cox St, Hudson, MA 01749",42.3992799,-71.5466718,","
AFFF Sampling Results - Chemguard Xtra High Expansion- Hudson.pdf,"296 Cox St, Hudson, MA 01749",42.3992799,-71.5466718,
AFFF Sampling Results - FireAde 2000- Hudson.pdf,"296 Cox St, Hudson, MA 01749",42.3992799,-71.5466718,
AFFF Sampling Results - 3M Light Water- Cotuit.pdf,"64 High St, Cotuit, MA 02635",41.619361,-70.445966,
2-0021045 - Stow - Document_ID_528945 SLG.pdf,"664 SUDBURY RD, STOW MA",42.394999,-71.477375,
AFFF Sampling Results - National Foam Universal Low Viscosity West Boylston.pdf,"39 Worcester St, West Boylston, MA 01583",42.4286245,-72.1984732,
AFFF Sampling Results - NF Knockdown (Clear Poly)- Clinton.pdf,"555 Main St, Clinton, MA 01510",42.4289559,-72.1984743,
AFFF Sampling Results - National Foam Centurion Gardner.pdf,"70 City Hall Ave, Gardner, MA 01440",42.5744064,-71.9993759,
AFFF Sampling Results - Ansulite ARC - Holden.pdf,"1370 Main St, Holden, MA 01520",42.3535702,-71.8734394,
AFFF Sampling Results - FEECON - Holden.pdf,"1370 Main St, Holden, MA 01520",42.3535702,-71.8734394,
AFFF Sampling Results - NF Universal Gold - Holden - annotated.pdf,"1370 Main St, Holden, MA 01520",42.3535702,-71.8734394,
AFFF Sampling Results - Buckeye- Hopkinton[120].pdf,"73 Main St, Hopkinton, MA 01748",42.227679,-71.5256377,
AFFF Sampling Results - NovaCool- Hyannis.pdf,"95 High School Rd, Hyannis, MA 02601",41.653388,-70.2917287,
AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,No location,,,
AFFF Sampling Results - Chemguard C364- Marlborough.pdf,"215 Maple St, Marlborough, MA 01752",42.3399721,-71.5450026,
AFFF Sampling Results - Chemguard C-363- Northborough.pdf,"11 Pierce St, Northborough, MA 01532",42.3234221,-71.6438621,
AFFF Sampling Results - ChemGuard C303 Shirley.pdf,"8 Leominster Rd, Shirley, MA 01464",42.5434774,-71.6606518,
AFFF Sampling Results - Chemguard C-137- Sutton.pdf,"Sutton Center Cemetery, 4 Uxbridge Rd, Sutton, MA 01590",42.149742,-71.7651977,
AFFF Sampling Results - F500- Sutton.pdf,"Sutton Center Cemetery, 4 Uxbridge Rd, Sutton, MA 01590",42.149742,-71.7651977,
AFFF Sampling Results - NF Knockdown- Sutton.pdf,"Sutton Center Cemetery, 4 Uxbridge Rd, Sutton, MA 01590",42.149742,-71.7651977,
AFFF Sampling Results - NF Universal Gold - Westminster.pdf,"7 South St, Westminster, MA 01473",42.5439322,-71.9144754,
AFFF Sampling Results - NF Universal Gold- Westminster - annotated.pdf,"7 South St, Westminster, MA 01473",42.5439322,-71.9144754,
